No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,20,12,4300,21127
1,2020,2,18,4,4300,21127
2,2020,2,13,9,4400,20317
3,2020,2,14,10,4400,20317
4,2020,2,24,20,4200,21127
5,2020,2,21,8,4300,21127
6,2020,2,6,10,4400,20317
7,2020,2,3,23,4400,20317
8,2020,2,4,4,4400,20317
9,2020,2,2,10,4400,20317
10,2020,2,10,4,4400,20317
11,2020,4,3,14,4200,21127
12,2020,2,22,4,4300,21127
13,2020,2,9,17,4400,20317
14,2020,2,7,2,4400,20317
15,2020,2,12,10,4400,20317
16,2020,5,27,6,3790,61280
17,2020,2,5,14,4400,20317
18,2020,4,2,6,4200,21127
19,2020,2,8,15,4400,20317
20,2020,2,23,17,4300,21127
21,2020,3,25,11,4150,21127
22,2020,2,17,18,4300,21127
23,2020,4,9,11,3880,62871
24,2020,2,19,11,4300,21127
25,2020,2,24,1,4300,21127
26,2020,2,25,1,4200,21127
27,2020,5,6,8,3890,61280
