No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,6,10,3030,110300
1,2020,2,4,6,3030,110300
2,2020,2,7,15,3030,110300
3,2020,2,21,7,3030,110300
4,2020,2,2,13,3030,110300
5,2020,2,19,20,3030,110300
6,2020,2,22,20,3030,110300
7,2020,2,24,11,3030,110300
8,2020,2,12,18,3030,110300
9,2020,2,8,11,3030,110300
10,2020,2,10,14,3030,110300
11,2020,2,3,7,3030,110300
12,2020,2,18,5,3030,110300
13,2020,2,14,8,3030,110300
14,2020,2,9,11,3030,110300
15,2020,2,13,19,3030,110300
16,2020,2,23,2,3030,110300
17,2020,2,5,15,3030,110300
18,2020,2,20,14,3030,110300
