No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,21,5,1790,118169
1,2020,2,10,9,1790,118169
2,2020,2,13,4,1790,118169
3,2020,2,9,11,1790,118169
4,2020,2,6,4,1490,137819
5,2020,2,8,14,1450,137819
6,2020,2,6,11,1790,118169
7,2020,2,23,11,1790,118169
8,2020,2,3,15,1790,118169
9,2020,2,9,23,1450,137819
10,2020,2,2,16,1790,118169
11,2020,2,9,3,1950,122866
12,2020,2,7,23,1790,118169
13,2020,2,3,16,1950,122866
14,2020,2,14,8,1450,137819
15,2020,2,7,23,1450,137819
16,2020,2,4,18,1790,118169
17,2020,2,12,12,1950,122866
18,2020,2,3,18,1490,137819
19,2020,2,12,11,1450,137819
20,2020,2,5,17,1950,122866
21,2020,2,19,10,1450,137819
22,2020,2,7,9,1490,137819
23,2020,2,24,20,1790,118169
24,2020,2,7,13,1950,122866
25,2020,2,2,11,1490,137819
26,2020,2,24,11,1450,137819
27,2020,2,19,13,1790,118169
28,2020,2,22,11,1950,122866
29,2020,2,4,12,1950,122866
30,2020,4,3,14,1790,118169
31,2020,2,20,11,1790,118169
32,2020,2,12,17,1790,118169
33,2020,2,20,12,1450,137819
34,2020,2,8,16,1790,118169
35,2020,2,13,14,1450,137819
36,2020,2,21,16,1450,137819
37,2020,2,8,19,1950,122866
38,2020,2,13,14,1950,122866
39,2020,2,17,12,1950,122866
40,2020,2,18,5,1950,122866
41,2020,2,14,0,1950,122866
42,2020,2,23,21,1450,137819
43,2020,2,19,20,1950,122866
44,2020,2,5,18,1790,118169
45,2020,2,4,15,1490,137819
46,2020,4,9,12,1900,122866
47,2020,2,2,8,1950,122866
48,2020,2,21,14,1950,122866
49,2020,2,10,4,1450,137819
50,2020,2,10,17,1950,122866
51,2020,2,14,5,1790,118169
52,2020,2,22,12,1450,137819
53,2020,4,2,6,1790,118169
54,2020,2,6,10,1950,122866
55,2020,2,25,3,1950,122866
56,2020,4,23,2,1900,122866
57,2020,5,6,8,1680,118169
58,2020,2,22,16,1790,118169
59,2020,2,17,13,1450,137819
60,2020,4,3,13,1700,118169
61,2020,2,18,3,1790,118169
62,2020,2,20,13,1950,122866
63,2020,2,23,21,1950,122866
64,2020,3,25,12,1900,122866
65,2020,2,18,8,1450,137819
66,2020,2,24,9,1950,122866
67,2020,2,25,5,1790,118169
68,2020,2,5,6,1490,137819
69,2020,4,2,6,1900,122866
70,2020,2,17,18,1790,118169
71,2020,2,25,6,1450,137819
