No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,23,23,2290,133083
1,2020,2,12,14,2300,133083
2,2020,2,2,16,2750,74654
3,2020,2,10,18,2600,100000
4,2020,2,9,8,2300,133083
5,2020,2,17,21,2300,133083
6,2020,2,25,6,2320,139342
7,2020,2,23,12,2500,123404
8,2020,2,4,11,2270,133083
9,2020,2,19,11,2750,74654
10,2020,2,20,7,2320,139342
11,2020,2,13,0,2600,100000
12,2020,2,13,7,2300,133083
13,2020,2,19,14,2290,133083
14,2020,2,20,17,2190,119448
15,2020,2,18,6,2600,100000
16,2020,2,5,1,2270,133083
17,2020,2,8,10,2300,133083
18,2020,2,24,14,2290,133083
19,2020,2,13,19,2750,74654
20,2020,2,12,9,2750,74654
21,2020,2,22,2,2690,123404
22,2020,2,12,7,2590,123404
23,2020,2,10,9,2750,74654
24,2020,2,25,11,2190,119448
25,2020,2,22,22,2320,139342
26,2020,2,20,0,2290,133083
27,2020,2,6,2,2590,123404
28,2020,2,22,5,2750,74654
29,2020,2,18,9,2690,123404
30,2020,4,3,13,2550,100000
31,2020,2,6,0,2270,133083
32,2020,2,22,1,2290,133083
33,2020,2,21,7,2600,100000
34,2020,2,14,1,2300,133083
35,2020,2,8,23,2750,74654
36,2020,2,23,18,2750,74654
37,2020,2,20,5,2600,100000
38,2020,2,7,14,2750,74654
39,2020,2,7,9,2270,133083
40,2020,2,23,5,2690,123404
41,2020,2,24,3,2600,100000
42,2020,2,21,21,2750,74654
43,2020,2,21,5,2690,123404
44,2020,2,24,14,2320,139342
45,2020,2,14,8,2590,123404
46,2020,2,24,10,2500,123404
47,2020,2,14,5,2600,100000
48,2020,2,10,17,2300,133083
49,2020,2,25,11,2600,100000
50,2020,2,17,12,2690,123404
51,2020,2,25,4,2500,123404
52,2020,2,12,11,2600,100000
53,2020,3,25,11,2550,100000
54,2020,2,7,5,2590,123404
55,2020,2,19,10,2190,119448
56,2020,2,6,11,2750,74654
57,2020,2,25,7,2290,133083
58,2020,2,17,13,2600,100000
59,2020,2,2,21,2590,123404
60,2020,2,13,16,2590,123404
61,2020,5,6,8,2890,29316
62,2020,4,9,11,2200,136602
63,2020,2,3,16,2750,74654
64,2020,2,5,2,2590,123404
65,2020,2,10,12,2590,123404
66,2020,4,3,12,2950,29316
67,2020,2,3,1,2590,123404
68,2020,2,24,3,2190,119448
69,2020,2,20,17,2690,123404
70,2020,2,21,9,2190,119448
71,2020,2,22,8,2190,119448
72,2020,2,19,21,2690,123404
73,2020,2,7,23,2300,133083
74,2020,4,9,11,2920,29316
75,2020,2,4,2,2290,133083
76,2020,2,22,19,2600,100000
77,2020,2,14,5,2750,74654
78,2020,2,19,23,2600,100000
79,2020,2,5,15,2750,74654
80,2020,2,21,14,2290,133083
81,2020,2,13,14,2190,119448
82,2020,5,6,8,2420,100000
83,2020,2,4,0,2750,74654
84,2020,2,18,7,2300,133083
85,2020,4,9,11,2750,74654
86,2020,5,6,7,2250,133083
87,2020,2,23,10,2320,139342
88,2020,2,14,1,2190,119448
89,2020,2,9,18,2600,100000
90,2020,2,24,18,2750,74654
91,2020,2,9,5,2750,74654
92,2020,2,27,12,2600,100000
93,2020,2,9,6,2590,123404
94,2020,2,4,21,2590,123404
95,2020,2,3,10,2290,133083
96,2020,2,8,21,2590,123404
97,2020,2,17,18,2190,119448
98,2020,2,19,14,2320,139342
99,2020,2,21,14,2320,139342
100,2020,4,2,4,2950,29316
101,2020,5,6,23,2800,52953
102,2020,4,3,14,2750,74654
103,2020,2,23,6,2600,100000
104,2020,2,20,10,2750,74654
105,2020,2,18,10,2190,119448
106,2020,2,25,5,2750,74654
107,2020,2,18,4,2300,139342
108,2020,4,2,6,2750,74654
109,2020,2,23,15,2190,119448
110,2020,2,17,12,2750,74654
