No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,9,9,3380,42547
1,2020,2,9,8,2990,99624
2,2020,2,25,6,2550,116851
3,2020,2,5,0,3070,99624
4,2020,2,13,8,2550,116851
5,2020,2,6,6,3380,68000
6,2020,2,7,17,2600,116851
7,2020,2,6,2,2700,67456
8,2020,2,12,16,3100,57889
9,2020,2,2,19,3070,99624
10,2020,2,12,20,2700,67456
11,2020,2,2,14,3150,57889
12,2020,2,21,7,2550,116851
13,2020,2,13,10,3100,57889
14,2020,2,4,12,2700,67456
15,2020,2,19,19,2990,99624
16,2020,2,2,10,3380,42547
17,2020,2,8,2,2600,116851
18,2020,2,8,12,2700,67456
19,2020,2,6,9,2600,116851
20,2020,2,8,7,3380,42547
21,2020,4,2,5,3300,68000
22,2020,2,17,13,3100,57889
23,2020,2,20,4,2550,116851
24,2020,2,13,16,2700,67456
25,2020,2,23,0,2550,116851
26,2020,2,21,2,3499,33374
27,2020,2,21,18,3380,68000
28,2020,2,12,11,3380,42547
29,2020,2,13,18,3380,68000
30,2020,2,22,13,2550,116851
31,2020,4,3,15,2540,87284
32,2020,2,18,3,2700,67456
33,2020,2,12,18,3380,68000
34,2020,2,7,12,3150,57889
35,2020,2,13,1,2990,99624
36,2020,2,10,16,2600,116851
37,2020,2,20,14,2700,67456
38,2020,2,24,7,3100,57889
39,2020,2,20,16,3499,33374
40,2020,4,3,14,3290,42547
41,2020,2,23,23,3380,68000
42,2020,2,23,18,3499,33374
43,2020,2,4,1,3070,99624
44,2020,2,23,1,2990,99624
45,2020,2,14,8,2700,67456
46,2020,2,6,3,3070,99624
47,2020,2,12,14,2600,116851
48,2020,2,3,11,3070,99624
49,2020,2,12,8,2990,99624
50,2020,2,21,6,3380,42547
51,2020,2,21,5,3100,57889
52,2020,2,10,11,3380,68000
53,2020,2,24,6,3499,33374
54,2020,2,25,8,3380,42547
55,2020,2,22,12,3380,42547
56,2020,2,4,12,3380,42547
57,2020,2,22,5,2590,87284
58,2020,2,3,11,3380,42547
59,2020,2,18,3,3100,57889
60,2020,2,23,22,2590,87284
61,2020,2,13,7,2600,116851
62,2020,2,19,11,2550,116851
63,2020,2,5,10,3380,68000
64,2020,3,25,11,2540,87284
65,2020,2,25,4,3100,57889
66,2020,2,14,2,2550,116851
67,2020,2,10,7,2700,67456
68,2020,2,2,15,2600,116851
69,2020,2,4,11,3150,57889
70,2020,2,21,10,2700,67456
71,2020,2,5,19,3150,57889
72,2020,2,5,13,2600,116851
73,2020,2,22,4,3499,33374
74,2020,2,7,16,3380,42547
75,2020,2,24,22,2590,87284
76,2020,2,22,2,2990,99624
77,2020,2,19,19,3100,57889
78,2020,2,3,23,3380,68000
79,2020,2,18,5,3380,42547
80,2020,2,22,14,3380,68000
81,2020,2,5,10,2700,67456
82,2020,2,17,21,3380,42547
83,2020,2,17,20,2700,67456
84,2020,2,9,20,2600,116851
85,2020,2,17,19,2550,116851
86,2020,4,9,11,2950,57889
87,2020,2,3,6,2600,116851
88,2020,2,2,14,3380,68000
89,2020,2,9,18,2700,67456
90,2020,2,24,13,3380,68000
91,2020,2,10,16,2990,99624
92,2020,2,24,10,2550,116851
93,2020,2,18,5,2990,99624
94,2020,2,24,20,3380,42547
95,2020,2,20,20,3380,42547
96,2020,2,24,3,2990,99624
97,2020,2,9,8,3380,68000
98,2020,2,25,1,2700,67456
99,2020,2,7,12,3380,68000
100,2020,2,14,6,3380,42547
101,2020,4,2,4,2900,57889
102,2020,2,7,20,3070,99624
103,2020,2,13,7,3380,42547
104,2020,5,6,8,2790,99624
105,2020,4,9,11,3550,34128
106,2020,2,18,4,2550,116851
107,2020,2,19,12,3499,33374
108,2020,2,7,22,2700,67456
109,2020,2,21,21,2990,99624
110,2020,2,4,5,2600,116851
111,2020,2,14,3,3380,68000
112,2020,2,20,14,3100,57889
113,2020,2,8,22,3070,99624
114,2020,2,23,5,3380,42547
115,2020,2,14,6,3100,57889
116,2020,4,23,2,2890,99624
117,2020,2,5,22,3380,42547
118,2020,2,3,23,3150,57889
119,2020,2,21,14,2590,87284
120,2020,2,25,0,2990,99624
121,2020,2,22,1,3100,57889
122,2020,2,24,21,2700,67456
123,2020,2,10,15,3380,42547
124,2020,2,8,6,3380,68000
125,2020,2,25,8,3499,33374
126,2020,2,6,17,3150,57889
127,2020,2,8,6,3150,57889
128,2020,2,23,8,2700,67456
129,2020,2,4,17,3380,68000
130,2020,2,27,12,2990,99624
131,2020,3,25,12,3000,57889
132,2020,2,20,19,3380,68000
133,2020,4,9,10,2540,87284
134,2020,2,19,18,3380,42547
135,2020,2,17,21,2990,99624
136,2020,2,17,20,3380,68000
137,2020,2,18,3,3380,68000
138,2020,2,25,5,3380,68000
139,2020,2,14,9,2990,99624
140,2020,2,23,14,3100,57889
141,2020,2,6,14,3380,42547
142,2020,2,20,20,2990,99624
143,2020,4,2,4,2890,99624
144,2020,4,2,3,3290,42547
145,2020,4,3,12,3300,68000
146,2020,4,23,2,3300,68000
147,2020,3,25,12,3380,68000
148,2020,2,17,21,3499,33374
149,2020,4,9,10,3290,42547
150,2020,2,19,16,2700,67456
151,2020,2,9,4,3150,57889
152,2020,2,18,4,3499,33374
153,2020,5,6,9,2540,87284
154,2020,4,9,12,2890,99624
155,2020,2,22,22,2700,67456
156,2020,4,9,12,3300,68000
157,2020,2,12,6,3150,57889
158,2020,4,3,13,2890,99624
159,2020,2,25,5,2590,87284
160,2020,3,25,12,2890,99624
161,2020,2,27,12,3380,68000
