No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,4,9,2950,97706
1,2020,2,13,16,2950,97706
2,2020,2,24,20,2950,97706
3,2020,2,5,20,2950,97706
4,2020,2,2,11,2950,97706
5,2020,4,3,14,3380,56799
6,2020,2,22,0,2950,97706
7,2020,2,19,23,2950,97706
8,2020,4,3,13,3409,51600
9,2020,2,23,1,2950,97706
10,2020,2,9,9,2950,97706
11,2020,2,8,21,2950,97706
12,2020,2,12,23,2950,97706
13,2020,2,3,5,2950,97706
14,2020,2,14,3,2950,97706
15,2020,2,20,7,2950,97706
16,2020,5,6,9,3330,56799
17,2020,4,2,3,3559,51600
18,2020,3,25,11,3510,51600
19,2020,2,18,7,2950,97706
20,2020,4,2,4,3380,56799
21,2020,2,25,6,2950,97706
22,2020,2,6,22,2950,97706
23,2020,2,7,13,2950,97706
24,2020,2,21,6,2950,97706
25,2020,2,10,4,2950,97706
