No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,13,6,2250,76000
1,2020,2,12,18,2250,76000
2,2020,2,6,14,2200,76000
3,2020,2,20,20,2500,76000
4,2020,2,13,21,2500,76000
5,2020,2,24,20,2500,76000
6,2020,2,23,4,2500,76000
7,2020,2,10,1,2200,76000
8,2020,2,22,10,2500,76000
9,2020,2,21,5,2500,76000
10,2020,2,9,10,2200,76000
11,2020,2,14,5,2500,76000
12,2020,2,8,13,2200,76000
13,2020,2,19,11,2500,76000
14,2020,2,18,4,2500,76000
15,2020,2,7,19,2200,76000
16,2020,2,25,5,2500,76000
17,2020,2,17,19,2500,76000
