No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,7,22,6390,51333
1,2020,2,3,16,6390,51333
2,2020,2,14,2,6390,51333
3,2020,2,4,4,6390,51333
4,2020,2,20,13,6390,51333
5,2020,2,5,21,6390,51333
6,2020,2,2,23,6390,51333
7,2020,2,9,4,6390,51333
8,2020,2,12,23,6390,51333
9,2020,2,21,10,6390,51333
10,2020,2,22,18,6390,51333
11,2020,2,6,9,6390,51333
12,2020,2,19,10,6390,51333
13,2020,2,8,19,6390,51333
14,2020,2,13,2,6390,51333
15,2020,2,24,18,6390,51333
16,2020,2,18,5,6390,51333
17,2020,2,10,10,6390,51333
