No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,6,12,7900,34913
1,2020,2,24,0,7900,34913
2,2020,2,17,21,7900,34913
3,2020,2,20,19,7900,34913
4,2020,2,13,5,7900,34913
5,2020,2,12,10,7900,34913
6,2020,2,4,8,7900,34913
7,2020,2,23,17,7900,34913
8,2020,2,5,14,7900,34913
9,2020,2,7,0,7900,34913
10,2020,2,9,6,7900,34913
11,2020,2,3,15,7900,34913
12,2020,2,21,9,7900,34913
13,2020,2,22,9,7900,34913
14,2020,2,14,6,7900,34913
15,2020,2,8,21,7900,34913
16,2020,4,2,4,7900,34913
17,2020,2,2,10,7900,34913
18,2020,2,19,12,7900,34913
19,2020,2,18,8,7900,34913
20,2020,5,27,6,7900,34913
21,2020,4,3,13,7900,34913
22,2020,5,6,8,7900,34913
