No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,4,16,13500,53600
1,2020,2,20,3,13500,53600
2,2020,2,5,11,13500,53600
3,2020,2,7,5,13500,53600
4,2020,2,2,7,13500,53600
5,2020,2,10,1,13500,53600
6,2020,2,19,19,13500,53600
7,2020,2,14,6,13500,53600
8,2020,2,13,12,13500,53600
9,2020,2,6,6,13500,53600
10,2020,2,9,7,13500,53600
11,2020,2,21,5,13500,53600
12,2020,2,3,17,13500,53600
13,2020,2,23,3,13500,53600
14,2020,2,8,19,13500,53600
15,2020,2,24,22,13500,53600
16,2020,2,17,13,13500,53600
17,2020,2,12,5,13500,53600
18,2020,2,22,5,13500,53600
19,2020,2,18,8,13500,53600
20,2020,2,25,6,13500,53600
