No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,6,21,8150,122000
1,2020,2,19,14,8150,122000
2,2020,2,8,7,8150,122000
3,2020,2,5,20,8150,122000
4,2020,2,5,12,7370,122000
5,2020,2,17,12,8150,122000
6,2020,2,13,11,8150,122000
7,2020,2,23,9,8150,122000
8,2020,2,3,21,7370,122000
9,2020,2,21,18,8150,122000
10,2020,2,14,10,8150,122000
11,2020,2,2,18,7370,122000
12,2020,2,7,15,8150,122000
13,2020,2,12,13,8150,122000
14,2020,2,25,4,8150,122000
15,2020,2,24,23,8150,122000
16,2020,2,18,9,8150,122000
17,2020,2,22,19,8150,122000
18,2020,4,3,13,8150,122000
19,2020,2,9,18,8150,122000
20,2020,2,4,12,7370,122000
21,2020,4,2,3,8150,122000
22,2020,2,20,2,8150,122000
23,2020,2,10,16,8150,122000
24,2020,2,27,12,8150,122000
25,2020,5,6,7,6950,122000
26,2020,4,9,10,8150,122000
