No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,6,13,880,131818
1,2020,2,14,9,880,131818
2,2020,2,7,4,880,131818
3,2020,2,3,14,880,131818
4,2020,2,20,6,880,131818
5,2020,2,10,2,880,131818
6,2020,2,8,18,880,131818
7,2020,2,25,4,880,131818
8,2020,2,13,22,880,131818
9,2020,4,3,14,880,131818
10,2020,4,2,5,880,131818
11,2020,2,19,20,880,131818
12,2020,2,4,14,880,131818
13,2020,2,5,16,880,131818
14,2020,2,24,19,880,131818
15,2020,2,12,11,880,131818
16,2020,3,25,12,880,131818
17,2020,2,9,1,880,131818
18,2020,2,18,9,880,131818
19,2020,2,2,17,880,131818
20,2020,2,23,9,880,131818
21,2020,2,21,17,880,131818
22,2020,2,22,2,880,131818
23,2020,2,17,13,880,131818
