No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,6,4,570,162240
1,2020,2,10,4,570,162240
2,2020,2,8,4,570,162240
3,2020,2,23,23,570,162240
4,2020,2,7,21,570,162240
5,2020,2,18,8,570,162240
6,2020,2,4,12,570,162240
7,2020,2,5,13,570,162240
8,2020,2,24,7,570,162240
9,2020,4,3,12,570,162240
10,2020,2,22,20,570,162240
11,2020,2,9,8,570,162240
12,2020,2,12,14,570,162240
13,2020,4,2,5,570,162240
14,2020,2,13,4,570,162240
15,2020,2,25,5,570,162240
16,2020,2,19,22,570,162240
17,2020,3,25,12,570,162240
18,2020,2,3,19,570,162240
19,2020,2,2,17,570,162240
20,2020,2,21,9,570,162240
21,2020,2,14,4,570,162240
22,2020,2,17,19,570,162240
23,2020,2,20,3,570,162240
24,2020,4,9,10,570,162240
