No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,9,14,3000,20580
1,2020,2,10,10,3000,20580
2,2020,2,6,23,3000,20580
3,2020,2,20,3,3000,20580
4,2020,2,2,17,3000,20580
5,2020,2,24,13,3000,20580
6,2020,2,4,12,3000,20580
7,2020,2,7,18,3000,20580
8,2020,2,8,6,3000,20580
9,2020,2,13,5,3000,20580
10,2020,2,5,19,3000,20580
11,2020,2,17,13,3000,20580
12,2020,2,21,0,3000,20580
13,2020,2,23,20,3000,20580
14,2020,2,3,10,3000,20580
15,2020,2,12,17,3000,20580
16,2020,2,22,20,3000,20580
17,2020,2,18,7,3000,20580
18,2020,2,19,13,3000,20580
19,2020,2,14,4,3000,20580
20,2020,2,25,5,3000,20580
