No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,9,17,1490,99559
1,2020,2,13,15,1490,99559
2,2020,2,12,10,1490,99559
3,2020,2,21,12,1490,99559
4,2020,2,20,0,1490,99559
5,2020,2,23,5,1490,99559
6,2020,2,5,23,1490,99559
7,2020,2,24,4,1490,99559
8,2020,2,19,11,1490,99559
9,2020,2,7,23,1490,99559
10,2020,2,10,17,1490,99559
11,2020,2,6,8,1490,99559
12,2020,2,25,0,1490,99559
13,2020,2,14,2,1490,99559
14,2020,2,2,8,1490,99559
15,2020,2,4,6,1490,99559
16,2020,2,22,6,1490,99559
17,2020,2,8,10,1490,99559
18,2020,2,3,15,1490,99559
19,2020,2,17,14,1490,99559
20,2020,2,18,9,1490,99559
