No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,10,5,1380,18028
1,2020,2,4,7,1380,18028
2,2020,2,13,8,1380,18028
3,2020,2,25,6,1380,18028
4,2020,2,24,21,1380,18028
5,2020,2,23,11,1380,18028
6,2020,2,2,23,1380,18028
7,2020,2,21,16,1380,18028
8,2020,2,20,6,1380,18028
9,2020,2,12,22,1380,18028
10,2020,5,6,7,1350,43177
11,2020,2,8,20,1380,18028
12,2020,2,9,11,1380,18028
13,2020,2,18,7,1380,18028
14,2020,2,14,0,1380,18028
15,2020,4,3,15,1170,34783
16,2020,2,3,7,1380,18028
17,2020,2,6,5,1380,18028
18,2020,2,7,1,1380,18028
19,2020,2,5,5,1380,18028
20,2020,2,19,21,1380,18028
21,2020,2,22,17,1380,18028
22,2020,5,10,23,1350,43177
23,2020,3,25,11,1170,34783
24,2020,4,2,6,1170,34783
25,2020,4,9,12,1170,34783
