No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,14,5,890,151345
1,2020,4,3,13,550,200840
2,2020,2,12,14,890,151345
3,2020,2,18,6,890,151345
4,2020,2,8,21,890,151345
5,2020,4,3,14,890,151345
6,2020,2,22,7,890,151345
7,2020,2,4,11,890,151345
8,2020,2,19,20,890,151345
9,2020,5,6,23,890,151345
10,2020,2,13,22,890,151345
11,2020,2,25,0,890,151345
12,2020,2,2,13,890,151345
13,2020,2,3,17,890,151345
14,2020,2,24,7,890,151345
15,2020,2,23,13,890,151345
16,2020,2,5,14,890,151345
17,2020,2,9,7,890,151345
18,2020,2,10,12,890,151345
19,2020,2,6,5,890,151345
20,2020,2,21,10,890,151345
21,2020,2,17,19,890,151345
22,2020,5,6,9,590,186255
23,2020,2,20,9,890,151345
24,2020,2,7,19,890,151345
25,2020,5,6,7,550,200840
26,2020,4,9,12,890,151345
