No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,3,11,1079,43581
1,2020,2,10,6,9999,43581
2,2020,2,12,17,9999,43581
3,2020,2,7,4,1079,43581
4,2020,5,6,8,890,46522
5,2020,2,5,4,1079,43581
6,2020,2,6,13,1079,43581
7,2020,2,9,14,9999,43581
8,2020,2,22,3,9999,43581
9,2020,2,21,0,9999,43581
10,2020,2,4,4,1079,43581
11,2020,2,7,22,9999,43581
12,2020,2,20,0,9999,43581
13,2020,2,13,10,9999,43581
14,2020,2,19,16,9999,43581
15,2020,2,2,13,1079,43581
16,2020,2,24,3,9999,43581
17,2020,2,23,5,9999,43581
18,2020,3,25,12,870,95100
19,2020,4,2,6,870,95144
20,2020,2,8,12,9999,43581
21,2020,2,14,4,9999,43581
22,2020,4,3,16,830,95144
23,2020,2,25,4,9999,43581
24,2020,4,9,10,870,95144
25,2020,5,6,8,840,95144
26,2020,2,17,21,9999,43581
