No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,6,2,1590,87868
1,2020,2,9,3,1590,87868
2,2020,2,17,19,1930,33914
3,2020,2,24,2,2050,35381
4,2020,2,13,0,1850,21079
5,2020,2,12,12,1930,33914
6,2020,2,14,9,1770,24249
7,2020,2,8,1,1700,40608
8,2020,2,4,1,1590,87868
9,2020,2,20,9,1900,26663
10,2020,2,23,3,2050,35381
11,2020,2,19,10,1790,55762
12,2020,2,25,5,1790,55762
13,2020,2,14,4,1700,40608
14,2020,2,21,8,1760,24249
15,2020,2,12,13,1390,65028
16,2020,2,6,1,1900,26663
17,2020,2,4,5,1900,26663
18,2020,2,13,12,1700,40608
19,2020,2,22,22,2050,35381
20,2020,2,6,14,1930,33914
21,2020,2,20,18,1590,87868
22,2020,2,6,15,1850,21079
23,2020,2,5,17,1390,65028
24,2020,2,20,15,1760,24249
25,2020,2,21,9,1930,33914
26,2020,2,5,4,1700,40608
27,2020,2,8,20,1390,65028
28,2020,2,9,8,1790,24249
29,2020,2,24,6,1760,24249
30,2020,2,3,8,1930,33914
31,2020,2,4,2,1930,33914
32,2020,2,13,8,1770,24249
33,2020,2,10,4,1780,24249
34,2020,2,3,12,1590,87868
35,2020,2,22,18,1790,55762
36,2020,2,24,6,1790,55762
37,2020,2,7,12,1850,21079
38,2020,2,9,10,1700,40608
39,2020,2,7,15,1900,26663
40,2020,2,24,15,1850,21079
41,2020,2,21,18,1590,87868
42,2020,2,5,14,1850,21079
43,2020,2,3,1,1700,40608
44,2020,2,14,3,1900,26663
45,2020,2,12,18,1770,24249
46,2020,2,7,2,1590,87868
47,2020,2,21,4,2020,35381
48,2020,2,2,14,1850,21079
49,2020,2,23,5,1760,24249
50,2020,2,12,13,1700,40608
51,2020,2,23,0,1930,33914
52,2020,2,4,3,1700,40608
53,2020,2,22,9,1760,24249
54,2020,2,2,12,1390,65028
55,2020,2,19,14,2080,35381
56,2020,2,12,6,1850,21079
57,2020,2,6,8,1700,40608
58,2020,2,7,17,1930,33914
59,2020,2,10,7,1850,21079
60,2020,2,3,6,1900,26663
61,2020,2,23,11,1590,87868
62,2020,2,8,5,1930,33914
63,2020,2,22,4,1700,40608
64,2020,2,13,9,1390,65028
65,2020,2,23,20,1900,26663
66,2020,2,8,1,1590,87868
67,2020,5,6,9,1530,39232
68,2020,4,2,3,1650,61708
69,2020,2,13,18,1900,26663
70,2020,5,6,8,1640,19388
71,2020,2,12,3,1780,24249
72,2020,2,9,3,1850,21079
73,2020,2,12,10,1900,26663
74,2020,2,13,5,1590,87868
75,2020,2,13,2,1930,33914
76,2020,2,2,17,1700,40608
77,2020,2,14,6,1390,65028
78,2020,2,8,11,1900,26663
79,2020,2,4,9,1850,21079
80,2020,2,9,23,1780,24249
81,2020,2,22,18,1930,33914
82,2020,2,12,23,1590,87868
83,2020,2,25,7,1760,24249
84,2020,2,23,21,1790,55762
85,2020,2,2,16,1930,33914
86,2020,2,25,6,2050,35381
87,2020,2,22,9,1590,87868
88,2020,2,19,20,1850,21079
89,2020,2,9,21,1930,33914
90,2020,2,18,9,1790,55762
91,2020,2,10,9,1390,65028
92,2020,2,21,21,2050,35381
93,2020,2,9,13,1390,65028
94,2020,2,3,14,1850,21079
95,2020,2,17,15,1760,24249
96,2020,2,14,9,1590,87868
97,2020,2,3,15,1390,65028
98,2020,2,21,20,1700,40608
99,2020,2,5,18,1900,26663
100,2020,2,20,16,1850,21079
101,2020,2,19,14,1900,26663
102,2020,2,10,12,1930,33914
103,2020,2,18,3,1900,26663
104,2020,2,18,4,1700,40608
105,2020,2,19,14,1590,87868
106,2020,2,19,22,1760,24249
107,2020,2,10,17,1900,26663
108,2020,2,21,9,1790,55762
109,2020,2,20,18,1390,65028
110,2020,2,18,7,1760,24249
111,2020,2,18,3,2080,35381
112,2020,2,24,12,1700,40608
113,2020,2,8,19,1850,21079
114,2020,2,7,13,1390,65028
115,2020,2,22,23,1900,26663
116,2020,2,23,5,1390,65028
117,2020,2,18,5,1590,87868
118,2020,2,14,4,1930,33914
119,2020,2,4,13,1390,65028
120,2020,4,2,5,1700,40608
121,2020,2,10,14,1700,40608
122,2020,2,24,0,1930,33914
123,2020,2,21,6,1850,21079
124,2020,2,20,22,1700,40608
125,2020,2,18,9,1850,21079
126,2020,2,24,21,1390,65028
127,2020,2,2,19,1900,26663
128,2020,2,21,6,1390,65028
129,2020,2,20,14,1790,55762
130,2020,2,10,9,1590,87868
131,2020,2,5,15,1590,87868
132,2020,2,25,0,1900,26663
133,2020,2,23,1,1850,21079
134,2020,2,20,4,2080,35381
135,2020,2,7,8,1700,40608
136,2020,2,22,11,1390,65028
137,2020,2,9,5,1900,26663
138,2020,2,25,5,1850,21079
139,2020,2,19,19,1390,65028
140,2020,2,23,17,1700,40608
141,2020,2,18,8,1930,33914
142,2020,2,25,5,1590,87868
143,2020,2,22,10,1850,21079
144,2020,2,5,14,1930,33914
145,2020,2,17,20,1850,21079
146,2020,5,6,23,1630,40608
147,2020,2,25,3,1390,65028
148,2020,2,6,13,1390,65028
149,2020,2,14,6,1790,55762
150,2020,2,20,23,2020,35381
151,2020,3,25,11,1700,40608
152,2020,2,17,18,1590,87868
153,2020,2,20,19,1930,33914
154,2020,2,17,18,1390,65028
155,2020,2,17,19,1700,40608
156,2020,2,19,19,1930,33914
157,2020,2,14,2,1850,21079
158,2020,4,9,11,1670,40608
159,2020,2,19,19,1700,40608
