No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,13,7,1790,14715
1,2020,2,3,12,1800,1300
2,2020,2,3,22,1790,14715
3,2020,2,25,9,1790,14715
4,2020,2,5,10,1800,1300
5,2020,2,20,15,1790,14715
6,2020,2,12,9,1800,1300
7,2020,2,5,0,1790,14715
8,2020,2,13,17,1920,23777
9,2020,2,23,14,1800,1300
10,2020,2,4,3,1790,14715
11,2020,2,10,8,1800,1300
12,2020,2,21,20,1920,23777
13,2020,2,2,23,1800,1300
14,2020,2,2,10,1790,14715
15,2020,2,22,22,1800,1300
16,2020,2,4,19,1920,23777
17,2020,2,6,7,1800,1300
18,2020,2,25,0,1920,23777
19,2020,2,8,17,1920,23777
20,2020,2,7,7,1790,14715
21,2020,2,20,18,1800,1300
22,2020,2,12,23,1790,14715
23,2020,2,9,12,1800,1300
24,2020,2,7,0,1920,23777
25,2020,2,12,10,1920,23777
26,2020,2,21,14,1800,1300
27,2020,2,9,5,1920,23777
28,2020,2,7,9,1800,1300
29,2020,2,21,9,1790,14715
30,2020,2,8,9,1790,14715
31,2020,2,13,1,1800,1300
32,2020,2,19,20,1800,1300
33,2020,2,22,8,1790,14715
34,2020,2,3,10,1920,23777
35,2020,2,8,12,1800,1300
36,2020,2,17,13,1790,14715
37,2020,2,14,8,1790,14715
38,2020,2,14,4,1920,23777
39,2020,2,14,1,1800,1300
40,2020,2,23,5,1920,23777
41,2020,2,4,0,1800,1300
42,2020,5,27,6,1720,1300
43,2020,2,6,3,1920,23777
44,2020,2,2,10,1920,23777
45,2020,2,25,2,1800,1300
46,2020,2,23,4,1790,14715
47,2020,2,22,22,1920,23777
48,2020,2,18,6,1800,1300
49,2020,2,10,3,1790,14715
50,2020,2,18,9,1790,14715
51,2020,2,6,17,1790,14715
52,2020,4,9,10,2050,15452
53,2020,2,24,13,1800,1300
54,2020,2,19,15,1790,14715
55,2020,2,9,21,1790,14715
56,2020,2,10,0,1920,23777
57,2020,2,19,13,1920,23777
58,2020,2,24,9,1790,14715
59,2020,2,5,3,1920,23777
60,2020,2,24,9,1920,23777
61,2020,3,25,12,1750,1300
62,2020,4,3,12,2190,24186
63,2020,2,20,4,1920,23777
64,2020,4,9,10,2190,24186
65,2020,3,25,12,2190,24186
66,2020,2,17,18,1920,23777
67,2020,4,2,3,1750,1300
68,2020,2,18,6,1920,23777
