No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,22,20,230,221850
1,2020,2,7,6,230,221850
2,2020,2,9,20,230,221850
3,2020,2,2,19,230,221850
4,2020,2,6,17,230,221850
5,2020,2,4,21,230,221850
6,2020,2,25,5,230,221850
7,2020,2,13,22,230,221850
8,2020,2,10,11,230,221850
9,2020,2,18,6,230,221850
10,2020,2,12,6,230,221850
11,2020,2,19,13,230,221850
12,2020,2,3,1,230,221850
13,2020,2,20,17,230,221850
14,2020,2,24,5,230,221850
15,2020,2,14,5,230,221850
16,2020,2,8,2,230,221850
17,2020,2,21,22,230,221850
18,2020,2,17,14,230,221850
19,2020,2,5,23,230,221850
20,2020,2,23,6,230,221850
