No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,7,2,890,127062
1,2020,2,21,17,850,90319
2,2020,2,14,1,890,127062
3,2020,2,19,22,890,127062
4,2020,2,20,3,850,90319
5,2020,2,8,17,890,127062
6,2020,2,9,9,890,127062
7,2020,2,22,2,690,138629
8,2020,2,21,2,690,138629
9,2020,2,24,4,690,138629
10,2020,2,12,8,890,127062
11,2020,2,4,14,890,127062
12,2020,2,5,6,890,127062
13,2020,2,17,13,890,127062
14,2020,2,20,14,690,138629
15,2020,2,23,3,690,138629
16,2020,2,13,9,890,127062
17,2020,2,3,10,890,127062
18,2020,2,22,10,850,90319
19,2020,2,22,2,890,127062
20,2020,2,10,1,890,127062
21,2020,2,24,21,890,127062
22,2020,2,23,4,850,90319
23,2020,2,20,19,890,127062
24,2020,2,19,20,690,138629
25,2020,5,6,7,890,127062
26,2020,4,23,2,890,127062
27,2020,2,25,4,850,90319
28,2020,2,24,20,850,90319
29,2020,2,2,8,890,127062
30,2020,4,9,11,690,90319
31,2020,2,6,8,890,127062
32,2020,2,25,7,890,127062
33,2020,2,23,21,890,127062
34,2020,2,18,9,890,127062
35,2020,4,9,11,890,127062
36,2020,2,19,14,850,90319
37,2020,4,3,13,890,127062
38,2020,2,18,9,850,90319
39,2020,2,21,22,890,127062
40,2020,2,25,8,690,138629
41,2020,4,2,4,690,90319
42,2020,3,25,11,890,127062
