No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,24,8,1190,86375
1,2020,2,25,10,1190,86375
2,2020,2,18,4,1190,86375
3,2020,2,8,21,1190,86375
4,2020,2,21,1,1190,86375
5,2020,2,4,6,1190,86375
6,2020,2,2,8,1190,86375
7,2020,2,9,3,1190,86375
8,2020,2,19,20,1190,86375
9,2020,2,7,23,1190,86375
10,2020,2,6,19,1190,86375
11,2020,2,12,20,1190,86375
12,2020,2,23,1,1190,86375
13,2020,2,13,12,1190,86375
14,2020,2,22,14,1190,86375
15,2020,2,3,11,1190,86375
16,2020,2,14,6,1190,86375
17,2020,2,10,4,1190,86375
18,2020,2,5,7,1190,86375
19,2020,2,20,8,1190,86375
