No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,14,0,9999,175649
1,2020,2,4,5,9999,175649
2,2020,2,21,5,490,99000
3,2020,2,10,5,9999,175649
4,2020,2,24,3,9999,175649
5,2020,2,20,11,490,99000
6,2020,2,20,17,9999,175649
7,2020,2,23,22,490,99000
8,2020,2,24,6,490,99000
9,2020,2,5,1,9999,175649
10,2020,2,22,19,490,99000
11,2020,2,19,23,490,99000
12,2020,2,13,2,9999,175649
13,2020,2,9,1,9999,175649
14,2020,2,3,9,9999,175649
15,2020,2,21,5,9999,175649
16,2020,2,7,16,9999,175649
17,2020,2,6,6,9999,175649
18,2020,2,23,21,9999,175649
19,2020,2,19,14,9999,175649
20,2020,2,2,8,9999,175649
21,2020,2,12,8,9999,175649
22,2020,2,17,19,490,99000
23,2020,2,13,8,490,99000
24,2020,2,22,22,9999,175649
25,2020,2,18,8,490,99000
26,2020,2,25,2,490,99000
27,2020,2,25,4,9999,175649
28,2020,2,8,4,9999,175649
29,2020,2,14,2,490,99000
