No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,10,12,420,108580
1,2020,2,19,21,370,108580
2,2020,2,7,3,420,108580
3,2020,2,23,5,370,108580
4,2020,2,24,3,370,108580
5,2020,2,8,15,420,108580
6,2020,2,13,2,420,108580
7,2020,2,22,13,370,108580
8,2020,2,9,5,420,108580
9,2020,2,20,12,370,108580
10,2020,2,21,8,370,108580
11,2020,2,27,12,370,108580
12,2020,2,14,7,420,108580
13,2020,2,25,5,370,108580
14,2020,2,12,10,420,108580
15,2020,2,6,22,420,108580
16,2020,4,9,10,320,108580
17,2020,3,25,11,350,108580
18,2020,2,17,14,420,108580
