No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,5,4,410,129985
1,2020,2,3,12,370,121847
2,2020,2,13,8,370,121847
3,2020,2,19,15,460,86512
4,2020,2,24,11,380,138803
5,2020,2,6,0,460,86512
6,2020,2,23,17,380,138803
7,2020,2,7,4,399,138803
8,2020,2,10,2,460,86512
9,2020,2,14,7,410,129985
10,2020,2,21,8,410,129985
11,2020,2,19,16,380,138803
12,2020,2,21,18,460,86512
13,2020,2,24,17,460,86512
14,2020,2,4,23,460,86512
15,2020,2,4,21,410,129985
16,2020,2,13,18,399,138803
17,2020,2,22,21,380,138803
18,2020,2,5,0,399,138803
19,2020,2,2,10,410,129985
20,2020,2,22,14,370,121847
21,2020,2,23,12,460,86512
22,2020,2,9,1,370,121847
23,2020,2,3,2,410,129985
24,2020,2,12,6,370,121847
25,2020,2,7,22,410,129985
26,2020,2,10,4,399,138803
27,2020,2,3,17,460,86512
28,2020,2,17,13,399,138803
29,2020,2,20,11,380,138803
30,2020,2,8,7,370,121847
31,2020,2,14,7,399,138803
32,2020,2,23,7,410,129985
33,2020,2,9,22,410,129985
34,2020,2,14,8,460,86512
35,2020,2,20,3,370,121847
36,2020,2,20,11,410,129985
37,2020,2,19,18,370,121847
38,2020,2,17,14,460,86512
39,2020,2,12,22,410,129985
40,2020,2,2,8,460,86512
41,2020,2,18,6,370,121847
42,2020,2,25,7,380,138803
43,2020,2,21,18,380,138803
44,2020,2,8,0,460,86512
45,2020,2,4,21,370,121847
46,2020,2,23,21,370,121847
47,2020,2,14,6,370,121847
48,2020,2,6,5,410,129985
49,2020,2,12,23,399,138803
50,2020,2,5,23,370,121847
51,2020,2,4,15,399,138803
52,2020,2,12,15,460,86512
53,2020,2,8,8,410,129985
54,2020,2,13,6,460,86512
55,2020,2,19,10,410,129985
56,2020,2,6,13,370,121847
57,2020,2,5,17,460,86512
58,2020,2,18,3,460,86512
59,2020,2,7,16,460,86512
60,2020,2,24,5,370,121847
61,2020,2,2,16,399,138803
62,2020,2,20,18,460,86512
63,2020,2,8,22,399,138803
64,2020,2,9,0,399,138803
65,2020,2,6,1,399,138803
66,2020,2,7,2,370,121847
67,2020,2,3,17,399,138803
68,2020,2,13,5,410,129985
69,2020,2,25,10,410,129985
70,2020,2,22,2,410,129985
71,2020,2,21,19,370,121847
72,2020,2,18,8,410,129985
73,2020,2,18,4,399,138803
74,2020,2,9,6,460,86512
75,2020,2,24,19,410,129985
76,2020,2,10,14,410,129985
77,2020,2,2,8,370,121847
78,2020,2,22,14,460,86512
79,2020,2,17,12,410,129985
80,2020,2,25,4,370,121847
