No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,23,23,450,113142
1,2020,2,27,13,530,71702
2,2020,2,25,6,450,113142
3,2020,3,25,12,460,125760
4,2020,4,2,5,450,118400
5,2020,4,2,6,450,113142
6,2020,2,25,10,530,71702
7,2020,2,24,14,530,71702
8,2020,2,21,22,450,113142
9,2020,2,22,16,450,113142
10,2020,2,24,20,450,113142
11,2020,2,20,22,450,113142
12,2020,4,9,11,450,113142
13,2020,5,6,7,440,118400
14,2020,3,25,11,530,71702
15,2020,2,27,13,450,113142
16,2020,4,3,14,450,113142
17,2020,3,25,12,450,113142
18,2020,4,2,6,530,71702
19,2020,4,3,14,460,125760
