No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,9,12,320,155796
1,2020,2,13,15,230,122231
2,2020,2,10,3,210,153738
3,2020,2,8,19,260,133414
4,2020,2,12,14,280,136552
5,2020,2,24,5,250,122231
6,2020,2,23,5,320,155796
7,2020,2,5,2,210,153738
8,2020,2,13,23,230,153738
9,2020,2,20,18,249,101578
10,2020,2,21,9,250,122231
11,2020,2,10,7,230,122231
12,2020,2,20,6,280,136552
13,2020,2,8,19,249,101578
14,2020,2,3,16,210,153738
15,2020,2,10,4,249,101578
16,2020,2,22,11,250,122231
17,2020,2,12,20,230,122231
18,2020,2,22,6,230,153738
19,2020,2,2,17,210,153738
20,2020,2,13,17,249,101578
21,2020,2,6,1,260,133414
22,2020,2,12,13,249,101578
23,2020,2,20,22,260,133414
24,2020,2,24,21,260,133414
25,2020,4,3,13,240,133414
26,2020,2,6,18,240,122231
27,2020,2,12,15,320,155796
28,2020,2,12,22,230,153738
29,2020,2,9,6,230,122231
30,2020,2,6,16,320,155796
31,2020,2,21,16,260,133414
32,2020,2,4,11,260,133414
33,2020,2,14,4,230,122231
34,2020,2,25,4,250,122231
35,2020,2,5,14,320,155796
36,2020,2,13,16,280,136552
37,2020,2,7,19,249,101578
38,2020,2,24,13,280,136552
39,2020,2,7,17,240,122231
40,2020,2,21,12,249,101578
41,2020,2,20,20,230,122231
42,2020,2,20,5,320,155796
43,2020,2,7,23,280,136552
44,2020,2,18,7,280,136552
45,2020,2,19,23,320,155796
46,2020,2,8,23,230,122231
47,2020,2,10,14,260,133414
48,2020,4,9,11,320,155796
49,2020,2,17,19,230,153738
50,2020,2,19,13,230,122231
51,2020,3,25,13,320,155796
52,2020,2,7,23,210,153738
53,2020,2,4,14,210,153738
54,2020,2,22,6,260,133414
55,2020,2,7,21,260,133414
56,2020,2,7,4,320,155796
57,2020,2,13,16,320,155796
58,2020,2,18,10,260,133414
59,2020,2,23,16,250,122231
60,2020,2,3,7,320,155796
61,2020,2,21,1,280,136552
62,2020,2,9,17,260,133414
63,2020,2,5,22,240,122231
64,2020,2,13,11,260,133414
65,2020,2,18,8,230,153738
66,2020,2,24,5,230,153738
67,2020,2,24,21,249,101578
68,2020,2,20,20,230,153738
69,2020,2,17,20,320,155796
70,2020,4,3,12,250,136552
71,2020,2,6,20,280,136552
72,2020,2,22,20,249,101578
73,2020,2,19,22,230,153738
74,2020,2,12,13,260,133414
75,2020,2,10,5,280,136552
76,2020,2,14,5,320,155796
77,2020,2,8,12,280,136552
78,2020,2,9,13,210,153738
79,2020,2,9,2,280,136552
80,2020,2,14,0,249,101578
81,2020,2,4,9,240,122231
82,2020,2,14,4,260,133414
83,2020,2,18,4,230,122231
84,2020,2,24,16,320,155796
85,2020,2,3,7,260,133414
86,2020,2,25,1,260,133414
87,2020,2,23,23,260,133414
88,2020,2,4,17,320,155796
89,2020,2,22,14,280,136552
90,2020,2,23,22,249,101578
91,2020,2,21,3,230,122231
92,2020,2,23,1,280,136552
93,2020,2,17,13,249,101578
94,2020,2,9,18,249,101578
95,2020,2,14,8,280,136552
96,2020,2,21,4,230,153738
97,2020,2,22,18,320,155796
98,2020,2,10,6,320,155796
99,2020,2,6,16,249,101578
100,2020,2,25,8,249,101578
101,2020,2,6,18,210,153738
102,2020,4,3,12,320,155796
103,2020,2,18,9,320,155796
104,2020,2,14,6,230,153738
105,2020,2,19,19,260,133414
106,2020,2,18,10,249,101578
107,2020,2,17,20,260,133414
108,2020,2,2,16,320,155796
109,2020,2,8,20,320,155796
110,2020,2,8,21,210,153738
111,2020,2,23,5,230,153738
112,2020,2,19,14,280,136552
113,2020,2,21,15,320,155796
114,2020,2,3,20,240,122231
115,2020,4,9,10,250,136552
116,2020,2,19,23,249,101578
117,2020,3,25,11,240,133414
118,2020,4,2,5,320,155796
119,2020,4,2,4,240,133414
120,2020,4,23,2,230,136552
121,2020,2,12,6,210,153738
122,2020,2,17,20,230,122231
123,2020,2,25,7,230,153738
124,2020,2,5,7,260,133414
125,2020,2,2,8,260,133414
126,2020,2,25,0,320,155796
127,2020,3,25,11,250,136552
128,2020,2,8,0,240,122231
129,2020,4,2,5,250,136552
