No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,21,23,950,36198
1,2020,2,2,14,950,36198
2,2020,2,13,10,950,36198
3,2020,2,12,11,950,36198
4,2020,4,2,3,950,36198
5,2020,2,23,13,950,36198
6,2020,2,8,8,950,36198
7,2020,2,7,16,950,36198
8,2020,2,10,7,950,36198
9,2020,2,19,10,950,36198
10,2020,2,5,8,950,36198
11,2020,2,4,14,950,36198
12,2020,2,18,3,950,36198
13,2020,2,9,8,950,36198
14,2020,2,3,17,950,36198
15,2020,2,22,2,950,36198
16,2020,2,20,13,950,36198
17,2020,2,6,22,950,36198
18,2020,2,14,5,950,36198
19,2020,2,24,16,950,36198
20,2020,4,3,15,950,36198
21,2020,3,25,12,950,36198
22,2020,2,25,6,950,36198
