No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,4,10,790,171077
1,2020,2,10,9,790,171077
2,2020,2,2,8,790,171077
3,2020,2,3,17,800,145000
4,2020,2,20,22,800,145000
5,2020,2,4,19,800,145000
6,2020,2,17,19,790,171077
7,2020,2,20,21,790,171077
8,2020,2,13,13,800,145000
9,2020,2,9,6,790,171077
10,2020,2,6,21,800,145000
11,2020,2,8,4,790,171077
12,2020,2,6,5,790,171077
13,2020,2,14,2,790,171077
14,2020,2,13,10,790,171077
15,2020,2,24,22,790,171077
16,2020,2,8,15,800,145000
17,2020,2,2,12,800,145000
18,2020,2,7,13,790,171077
19,2020,2,9,7,800,145000
20,2020,2,14,1,800,145000
21,2020,3,25,11,820,105042
22,2020,2,22,17,790,171077
23,2020,2,12,7,790,171077
24,2020,2,19,11,800,145000
25,2020,2,10,14,800,145000
26,2020,2,7,18,800,145000
27,2020,2,23,19,800,145000
28,2020,2,18,3,790,171077
29,2020,2,21,17,790,171077
30,2020,2,5,16,790,171077
31,2020,2,22,13,800,145000
32,2020,2,5,1,800,145000
33,2020,2,3,13,790,171077
34,2020,2,18,4,800,145000
35,2020,2,12,18,800,145000
36,2020,2,25,2,790,171077
37,2020,2,24,3,800,145000
38,2020,2,23,11,790,171077
39,2020,2,21,8,800,145000
40,2020,2,19,20,790,171077
41,2020,4,2,3,870,105042
42,2020,2,17,19,800,145000
43,2020,2,25,5,800,145000
44,2020,4,2,4,750,145000
