No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,13,19,930,37000
1,2020,2,25,0,930,37000
2,2020,2,22,15,930,37000
3,2020,2,6,8,930,37000
4,2020,2,24,13,930,37000
5,2020,4,23,2,880,37000
6,2020,2,21,17,930,37000
7,2020,2,12,20,930,37000
8,2020,2,23,17,930,37000
9,2020,2,19,19,930,37000
10,2020,2,9,0,930,37000
11,2020,2,8,20,930,37000
12,2020,2,7,5,930,37000
13,2020,4,3,14,930,37000
14,2020,2,5,4,930,37000
15,2020,2,14,2,930,37000
16,2020,2,10,11,930,37000
17,2020,3,25,13,930,37000
18,2020,2,20,17,930,37000
19,2020,2,18,5,930,37000
