No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,4,4,1180,37558
1,2020,2,22,22,1130,37558
2,2020,2,14,6,1130,37558
3,2020,2,21,8,1130,37558
4,2020,2,7,1,1180,37558
5,2020,2,2,9,1180,37558
6,2020,2,25,3,1130,37558
7,2020,2,12,23,1130,37558
8,2020,2,13,15,1130,37558
9,2020,2,3,1,1180,37558
10,2020,2,5,2,1180,37558
11,2020,2,6,12,1180,37558
12,2020,2,10,0,1180,37558
13,2020,2,23,4,1130,37558
14,2020,2,24,4,1130,37558
15,2020,2,17,12,1130,37558
16,2020,2,19,9,1130,37558
17,2020,2,8,9,1180,37558
18,2020,2,12,6,1180,37558
19,2020,2,20,5,1130,37558
20,2020,2,18,6,1130,37558
21,2020,2,9,5,1180,37558
