No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,20,9,1699,20961
1,2020,2,13,12,1699,20961
2,2020,2,6,9,1699,20961
3,2020,2,9,13,1699,20961
4,2020,2,7,10,1699,20961
5,2020,2,21,3,1699,20961
6,2020,2,3,19,1699,20961
7,2020,2,2,18,1699,20961
8,2020,2,4,0,1699,20961
9,2020,2,10,13,1699,20961
10,2020,2,12,3,1699,20961
11,2020,2,24,18,1699,20961
12,2020,2,14,8,1699,20961
13,2020,2,8,8,1699,20961
14,2020,2,5,4,1699,20961
15,2020,2,23,18,1699,20961
16,2020,2,18,9,1699,20961
17,2020,2,22,6,1699,20961
18,2020,2,17,13,1699,20961
