No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,5,14,1000,109086
1,2020,2,6,12,1000,109086
2,2020,2,13,5,1000,109086
3,2020,2,24,22,1000,109086
4,2020,2,3,2,1000,109086
5,2020,2,4,2,990,107865
6,2020,2,20,23,1000,109086
7,2020,2,7,17,990,107865
8,2020,2,3,1,990,107865
9,2020,2,13,2,990,107865
10,2020,2,2,9,990,107865
11,2020,2,14,2,1000,109086
12,2020,2,9,13,990,107865
13,2020,2,12,8,1000,109086
14,2020,2,4,13,1000,109086
15,2020,2,22,10,990,107865
16,2020,2,21,2,990,107865
17,2020,2,10,12,1000,109086
18,2020,2,19,22,990,107865
19,2020,2,14,9,990,107865
20,2020,2,10,10,990,107865
21,2020,2,20,3,990,107865
22,2020,2,8,2,990,107865
23,2020,2,23,17,1000,109086
24,2020,2,25,6,990,107865
25,2020,2,18,7,990,107865
26,2020,2,7,20,1000,109086
27,2020,2,5,11,990,107865
28,2020,2,2,10,1000,109086
29,2020,2,24,22,990,107865
30,2020,2,22,9,1000,109086
31,2020,2,9,5,1000,109086
32,2020,2,8,10,1000,109086
33,2020,2,6,11,990,107865
34,2020,2,12,16,990,107865
35,2020,2,21,9,1000,109086
36,2020,2,23,22,990,107865
37,2020,2,19,19,1000,109086
38,2020,2,25,6,1000,109086
