No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,13,15,690,61657
1,2020,2,9,10,690,61657
2,2020,2,12,6,690,61657
3,2020,2,7,12,690,61657
4,2020,2,6,23,690,61657
5,2020,2,8,2,690,61657
6,2020,2,14,8,690,61657
7,2020,2,19,20,690,61657
8,2020,2,4,0,690,61657
9,2020,2,3,21,690,61657
10,2020,2,5,14,690,61657
11,2020,2,2,7,690,61657
12,2020,2,17,13,690,61657
13,2020,2,24,7,690,61657
14,2020,2,22,4,690,61657
15,2020,2,20,6,690,61657
16,2020,2,21,2,690,61657
17,2020,2,18,8,690,61657
18,2020,2,23,4,690,61657
19,2020,2,25,10,690,61657
20,2020,2,10,14,690,61657
21,2020,2,27,12,680,98248
