No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,10,9,910,74519
1,2020,2,7,9,910,74519
2,2020,2,9,5,910,74519
3,2020,2,4,1,910,74519
4,2020,2,3,0,910,74519
5,2020,2,5,23,460,164320
6,2020,2,6,18,910,74519
7,2020,2,12,10,460,164320
8,2020,2,12,17,910,74519
9,2020,2,19,23,460,164320
10,2020,2,13,22,910,74519
11,2020,2,6,19,460,164320
12,2020,2,2,12,910,74519
13,2020,2,5,5,910,74519
14,2020,2,4,10,460,164320
15,2020,2,9,3,460,164320
16,2020,2,21,9,910,74519
17,2020,2,22,11,910,74519
18,2020,2,23,10,460,164320
19,2020,2,3,15,460,164320
20,2020,2,22,19,460,164320
21,2020,2,24,21,460,164320
22,2020,2,10,16,460,164320
23,2020,2,8,3,460,164320
24,2020,2,13,8,460,164320
25,2020,2,17,20,460,164320
26,2020,2,20,2,460,164320
27,2020,2,23,1,910,74519
28,2020,2,8,16,910,74519
29,2020,2,14,4,910,74519
30,2020,2,20,3,910,74519
31,2020,2,2,18,460,164320
32,2020,2,25,8,460,164320
33,2020,2,7,23,460,164320
34,2020,2,25,8,910,74519
35,2020,2,18,9,460,164320
36,2020,2,21,9,460,164320
37,2020,2,18,3,910,74519
38,2020,2,19,20,910,74519
39,2020,2,14,7,460,164320
