No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,6,13,620,109558
1,2020,2,7,21,620,109558
2,2020,2,22,2,580,109558
3,2020,2,13,11,620,109558
4,2020,2,2,19,620,109558
5,2020,2,8,6,620,109558
6,2020,2,24,5,580,109558
7,2020,2,23,19,580,109558
8,2020,2,21,17,580,109558
9,2020,2,10,4,620,109558
10,2020,2,9,4,620,109558
11,2020,2,25,7,580,109558
12,2020,2,12,17,620,109558
13,2020,2,20,3,580,109558
14,2020,2,5,15,620,109558
15,2020,2,3,8,620,109558
16,2020,2,4,3,620,109558
17,2020,2,14,2,620,109558
18,2020,2,19,21,580,109558
19,2020,5,6,8,640,60364
20,2020,2,18,9,620,109558
21,2020,4,9,10,680,83810
