No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,5,17,1190,48209
1,2020,2,13,18,1190,48209
2,2020,2,20,22,1190,48209
3,2020,2,21,1,1190,48209
4,2020,2,2,9,1190,48209
5,2020,2,8,15,1190,48209
6,2020,2,22,10,1190,48209
7,2020,2,23,12,1190,48209
8,2020,2,10,5,1190,48209
9,2020,2,12,6,1190,48209
10,2020,2,14,9,1190,48209
11,2020,2,18,7,1190,48209
12,2020,2,4,19,1190,48209
13,2020,2,25,4,1190,48209
14,2020,2,24,19,1190,48209
15,2020,2,6,12,1190,48209
16,2020,2,3,18,1190,48209
17,2020,2,7,6,1190,48209
18,2020,2,9,6,1190,48209
19,2020,2,19,22,1190,48209
20,2020,2,17,19,1190,48209
