No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,7,12,1250,32416
1,2020,2,13,14,1190,32416
2,2020,2,5,9,1250,32416
3,2020,2,17,19,1190,32416
4,2020,2,21,18,1190,32416
5,2020,2,22,19,1190,32416
6,2020,2,9,18,1250,32416
7,2020,2,25,9,1170,32416
8,2020,2,3,11,1250,32416
9,2020,2,8,16,1250,32416
10,2020,2,6,14,1250,32416
11,2020,2,10,6,1250,32416
12,2020,4,23,2,1150,40242
13,2020,2,20,20,1190,32416
14,2020,2,12,21,1190,32416
15,2020,2,14,0,1190,32416
16,2020,2,23,15,1170,32416
17,2020,2,19,16,1190,32416
18,2020,2,24,22,1170,32416
19,2020,2,4,7,1250,32416
20,2020,2,2,9,1250,32416
21,2020,4,3,13,1190,40242
22,2020,2,18,4,1190,32416
