No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,3,7,1970,69910
1,2020,2,4,18,1970,69910
2,2020,2,22,9,1970,69910
3,2020,2,12,23,1970,69910
4,2020,2,5,14,1970,69910
5,2020,2,8,21,1970,69910
6,2020,2,10,1,1970,69910
7,2020,2,17,20,1970,69910
8,2020,2,2,13,1970,69910
9,2020,2,7,22,1970,69910
10,2020,2,6,3,1970,69910
11,2020,2,9,1,1970,69910
12,2020,2,19,22,1970,69910
13,2020,2,21,21,1970,69910
14,2020,2,14,7,1970,69910
15,2020,2,23,12,1970,69910
16,2020,2,13,9,1970,69910
17,2020,2,20,16,1970,69910
18,2020,2,24,19,1970,69910
19,2020,2,25,5,1970,69910
20,2020,2,18,3,1970,69910
