No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,9,10,11000,7847
1,2020,2,23,19,11000,7847
2,2020,2,12,18,11000,7847
3,2020,2,21,23,11000,7847
4,2020,2,19,18,11000,7847
5,2020,2,5,8,11000,7847
6,2020,2,24,16,11000,7847
7,2020,2,20,17,11000,7847
8,2020,2,22,19,11000,7847
9,2020,2,14,5,11000,7847
10,2020,2,10,18,11000,7847
11,2020,2,4,16,11000,7847
12,2020,2,18,10,11000,7847
13,2020,2,13,21,11000,7847
14,2020,2,8,23,11000,7847
15,2020,2,2,17,11000,7847
16,2020,2,17,21,11000,7847
17,2020,4,2,5,11000,7847
18,2020,2,3,11,11000,7847
19,2020,2,6,0,11000,7847
20,2020,2,25,0,11000,7847
21,2020,4,9,11,11000,7847
22,2020,4,23,2,11000,7847
23,2020,2,7,2,11000,7847
24,2020,3,25,12,11000,7847
