No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,5,12,1770,102971
1,2020,2,21,5,1770,102971
2,2020,2,12,11,1770,102971
3,2020,2,22,5,1770,102971
4,2020,2,10,9,1770,102971
5,2020,2,6,13,1770,102971
6,2020,2,19,18,1770,102971
7,2020,2,14,6,1770,102971
8,2020,2,2,23,1770,102971
9,2020,2,8,2,1770,102971
10,2020,2,13,14,1770,102971
11,2020,2,24,3,1770,102971
12,2020,2,3,3,1770,102971
13,2020,2,4,15,1770,102971
14,2020,2,25,10,1770,102971
15,2020,2,23,8,1770,102971
16,2020,2,7,2,1770,102971
17,2020,2,9,2,1770,102971
18,2020,2,20,21,1770,102971
19,2020,2,17,21,1770,102971
