No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,6,7,1690,50833
1,2020,2,7,23,1340,129004
2,2020,2,23,4,1530,86036
3,2020,2,8,10,1530,86036
4,2020,2,2,8,1350,129004
5,2020,2,7,3,1690,50833
6,2020,2,4,9,1530,86036
7,2020,2,24,7,1290,129004
8,2020,2,4,1,1350,129004
9,2020,2,12,22,1690,50833
10,2020,2,10,2,1340,129004
11,2020,2,23,9,1290,129004
12,2020,2,13,8,1690,50833
13,2020,3,25,11,1630,50833
14,2020,2,19,13,1340,129004
15,2020,4,2,4,1630,50833
16,2020,2,9,12,1340,129004
17,2020,2,25,8,1530,86036
18,2020,2,12,17,1340,129004
19,2020,2,6,23,1350,129004
20,2020,2,22,23,1290,129004
21,2020,2,21,5,1290,129004
22,2020,2,25,7,1690,50833
23,2020,2,3,16,1690,50833
24,2020,2,14,3,1340,129004
25,2020,2,22,4,1690,50833
26,2020,2,4,15,1690,50833
27,2020,2,20,3,1690,50833
28,2020,2,6,16,1530,86036
29,2020,2,14,8,1530,86036
30,2020,2,18,6,1340,129004
31,2020,2,5,1,1530,86036
32,2020,2,20,10,1530,86036
33,2020,2,8,19,1340,129004
34,2020,2,10,3,1690,50833
35,2020,2,20,17,1290,129004
36,2020,2,3,4,1350,129004
37,2020,2,25,8,1290,129004
38,2020,2,18,8,1530,86036
39,2020,2,9,15,1530,86036
40,2020,2,5,6,1350,129004
41,2020,2,9,1,1690,50833
42,2020,2,13,16,1530,86036
43,2020,2,2,22,1690,50833
44,2020,2,2,16,1530,86036
45,2020,2,17,21,1340,129004
46,2020,2,8,8,1690,50833
47,2020,2,3,16,1530,86036
48,2020,2,13,6,1340,129004
49,2020,2,21,18,1690,50833
50,2020,2,24,4,1530,86036
51,2020,2,18,4,1690,50833
52,2020,2,21,1,1530,86036
53,2020,2,5,3,1690,50833
54,2020,2,12,22,1530,86036
55,2020,2,23,18,1690,50833
56,2020,2,27,12,1690,50833
57,2020,2,24,21,1690,50833
58,2020,2,7,23,1530,86036
59,2020,2,17,13,1690,50833
60,2020,2,14,4,1690,50833
61,2020,2,22,2,1530,86036
62,2020,2,19,19,1690,50833
63,2020,2,17,14,1530,86036
64,2020,2,10,17,1530,86036
