No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,24,11,200,262608
1,2020,2,10,9,200,262608
2,2020,2,14,6,200,262608
3,2020,2,13,6,200,262608
4,2020,2,5,9,200,262608
5,2020,2,7,2,200,262608
6,2020,2,12,21,200,262608
7,2020,2,23,23,200,262608
8,2020,2,2,10,200,262608
9,2020,2,20,16,200,262608
10,2020,2,3,3,200,262608
11,2020,2,4,16,200,262608
12,2020,2,6,2,200,262608
13,2020,2,9,23,200,262608
14,2020,2,21,10,200,262608
15,2020,2,22,6,200,262608
16,2020,4,3,13,170,262608
17,2020,2,8,4,200,262608
18,2020,3,25,11,220,262608
19,2020,2,25,7,200,262608
20,2020,2,19,17,200,262608
21,2020,4,2,4,220,262608
22,2020,4,9,10,200,262608
23,2020,2,17,13,200,262608
