No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,25,0,2550,23484
1,2020,2,4,15,2550,23484
2,2020,2,22,12,2550,23484
3,2020,2,6,17,2550,23484
4,2020,2,23,14,2550,23484
5,2020,2,7,14,2550,23484
6,2020,2,13,14,2550,23484
7,2020,2,21,6,2550,23484
8,2020,2,9,5,2550,23484
9,2020,2,20,3,2550,23484
10,2020,4,9,11,2550,23484
11,2020,2,12,6,2550,23484
12,2020,2,17,18,2550,23484
13,2020,2,14,5,2550,23484
14,2020,2,2,8,2550,23484
15,2020,2,5,22,2550,23484
16,2020,2,10,3,2550,23484
17,2020,3,25,11,2550,23484
18,2020,2,3,7,2550,23484
19,2020,4,2,4,2550,23484
20,2020,2,19,10,2550,23484
21,2020,2,8,6,2550,23484
22,2020,2,24,7,2550,23484
23,2020,2,18,8,2550,23484
