No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,13,5,790,162062
1,2020,2,23,10,790,162062
2,2020,2,18,8,790,162062
3,2020,2,20,19,790,162062
4,2020,2,8,11,790,162062
5,2020,2,24,18,790,162062
6,2020,2,12,23,790,162062
7,2020,2,7,6,790,162062
8,2020,2,25,10,790,162062
9,2020,2,3,20,790,162062
10,2020,2,10,14,790,162062
11,2020,2,5,20,790,162062
12,2020,4,3,14,850,152233
13,2020,2,4,19,790,162062
14,2020,2,19,22,790,162062
15,2020,2,14,9,790,162062
16,2020,4,3,15,790,162062
17,2020,2,22,21,790,162062
18,2020,4,9,10,850,152233
19,2020,2,21,14,790,162062
20,2020,4,9,12,790,162062
21,2020,2,2,11,790,162062
22,2020,5,6,8,790,162062
23,2020,2,9,2,790,162062
24,2020,2,6,22,790,162062
