No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,12,18,420,114940
1,2020,2,9,7,370,114940
2,2020,2,5,21,380,114940
3,2020,2,6,19,370,114940
4,2020,2,18,6,420,114940
5,2020,2,17,21,420,114940
6,2020,2,4,13,380,114940
7,2020,2,13,3,420,114940
8,2020,2,7,23,370,114940
9,2020,2,24,19,420,114940
10,2020,2,23,6,420,114940
11,2020,2,8,0,370,114940
12,2020,2,3,4,380,114940
13,2020,2,25,3,420,114940
14,2020,2,19,23,420,114940
15,2020,2,14,7,420,114940
16,2020,2,22,19,420,114940
17,2020,2,20,1,420,114940
18,2020,2,21,11,420,114940
19,2020,2,10,12,420,114940
20,2020,2,10,10,370,114940
21,2020,2,2,13,380,114940
