No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,13,11,889,146913
1,2020,2,6,12,950,89338
2,2020,2,8,21,950,89338
3,2020,2,4,6,1030,147902
4,2020,2,9,3,889,146913
5,2020,2,6,18,1199,52783
6,2020,2,12,15,889,146913
7,2020,2,5,17,1030,147902
8,2020,2,10,3,1030,147902
9,2020,2,19,20,1199,52783
10,2020,2,23,17,1030,147902
11,2020,2,21,18,950,89338
12,2020,2,21,15,889,146913
13,2020,2,20,10,1030,147902
14,2020,2,13,6,1480,40702
15,2020,2,4,19,950,89338
16,2020,4,2,3,990,115165
17,2020,2,7,18,950,89338
18,2020,2,21,9,1199,52783
19,2020,2,10,7,950,89338
20,2020,2,20,7,889,146913
21,2020,2,25,11,1199,52783
22,2020,2,10,4,889,146913
23,2020,2,21,23,1030,147902
24,2020,2,6,16,1480,40702
25,2020,2,5,16,950,89338
26,2020,2,3,10,889,146913
27,2020,2,3,7,1030,147902
28,2020,2,13,20,1199,52783
29,2020,2,19,9,889,146913
30,2020,2,8,18,1480,40702
31,2020,2,4,23,1480,40702
32,2020,2,9,15,1199,52783
33,2020,2,22,11,1480,40702
34,2020,2,2,18,1199,52783
35,2020,2,12,11,1030,147902
36,2020,2,18,3,1030,147902
37,2020,2,13,14,1030,147902
38,2020,2,23,22,950,89338
39,2020,2,23,13,1199,52783
40,2020,2,24,18,950,89338
41,2020,2,2,8,1480,40702
42,2020,2,5,14,1480,40702
43,2020,2,13,1,950,89338
44,2020,2,14,9,889,146913
45,2020,2,5,11,1199,52783
46,2020,2,8,1,889,146913
47,2020,2,25,2,950,89338
48,2020,2,18,3,889,146913
49,2020,2,22,20,950,89338
50,2020,2,12,17,1199,52783
51,2020,2,7,8,1199,52783
52,2020,2,17,19,889,146913
53,2020,2,24,3,889,146913
54,2020,2,7,5,1480,40702
55,2020,2,17,20,1199,52783
56,2020,2,14,0,950,89338
57,2020,2,14,4,1030,147902
58,2020,2,10,14,1480,40702
59,2020,2,3,8,950,89338
60,2020,2,6,6,889,146913
61,2020,2,19,16,950,89338
62,2020,2,24,14,1030,147902
63,2020,2,9,2,1030,147902
64,2020,2,2,17,899,146913
65,2020,2,22,21,889,146913
66,2020,2,22,13,1199,52783
67,2020,2,19,23,1030,147902
68,2020,2,12,9,950,89338
69,2020,2,14,4,1480,40702
70,2020,2,8,3,1199,52783
71,2020,2,5,5,889,146913
72,2020,2,23,1,889,146913
73,2020,2,6,8,1030,147902
74,2020,2,25,10,889,146913
75,2020,2,18,5,1199,52783
76,2020,2,3,14,1199,52783
77,2020,2,7,0,889,146913
78,2020,2,2,17,950,89338
79,2020,2,4,23,889,146913
80,2020,4,2,4,829,146913
81,2020,2,3,2,1480,40702
82,2020,2,9,2,950,89338
83,2020,2,8,19,1030,147902
84,2020,2,25,3,1030,147902
85,2020,3,25,12,829,146913
86,2020,2,21,16,1480,40702
87,2020,2,3,4,899,146913
88,2020,2,2,18,1030,147902
89,2020,2,14,3,1199,52783
90,2020,2,20,11,1480,40702
91,2020,4,2,4,930,147902
92,2020,2,12,6,1480,40702
93,2020,2,25,6,1480,40702
94,2020,2,22,22,1030,147902
95,2020,2,17,18,1480,40702
96,2020,4,3,13,990,115165
97,2020,2,4,7,1199,52783
98,2020,2,24,9,1480,40702
99,2020,2,10,8,1199,52783
100,2020,2,9,4,1480,40702
101,2020,2,20,20,950,89338
102,2020,2,23,23,1480,40702
103,2020,2,20,12,1199,52783
104,2020,2,17,12,1030,147902
105,2020,5,7,0,1200,57092
106,2020,2,7,10,1030,147902
107,2020,4,3,12,829,146913
108,2020,5,6,7,1200,57092
109,2020,5,6,8,850,183563
