No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,6,10,1120,102611
1,2020,4,2,6,899,140276
2,2020,2,24,19,970,140276
3,2020,2,12,10,1120,102611
4,2020,2,22,6,1120,102611
5,2020,2,22,1,970,140276
6,2020,2,3,16,1120,102611
7,2020,2,13,1,1120,102611
8,2020,2,23,6,1120,102611
9,2020,2,8,12,970,140276
10,2020,2,14,3,1120,102611
11,2020,2,7,5,1120,102611
12,2020,4,3,13,899,140276
13,2020,2,5,15,970,140276
14,2020,2,4,5,1120,102611
15,2020,2,20,20,1120,102611
16,2020,2,2,8,1120,102611
17,2020,2,20,18,970,140276
18,2020,2,21,3,1120,102611
19,2020,2,21,21,970,140276
20,2020,2,17,13,970,140276
21,2020,2,5,22,1120,102611
22,2020,2,13,14,970,140276
23,2020,2,6,19,970,140276
24,2020,2,9,2,1120,102611
25,2020,2,12,7,970,140276
26,2020,2,8,6,1120,102611
27,2020,2,23,22,970,140276
28,2020,2,4,21,970,140276
29,2020,4,9,11,899,140276
30,2020,2,14,4,970,140276
31,2020,2,24,12,1120,102611
32,2020,2,19,20,1120,102611
33,2020,2,9,15,970,140276
34,2020,2,2,16,970,140276
35,2020,2,3,21,970,140276
36,2020,2,7,1,970,140276
37,2020,2,10,8,1120,102611
38,2020,2,25,3,1120,102611
39,2020,5,6,7,899,140276
40,2020,2,25,6,970,140276
41,2020,2,18,9,1120,102611
42,2020,2,10,3,970,140276
43,2020,3,25,11,970,140276
44,2020,2,18,6,970,140276
45,2020,2,17,20,1120,102611
