No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,8,15,940,123362
1,2020,2,20,10,940,123362
2,2020,2,9,18,940,123362
3,2020,2,7,4,940,123362
4,2020,2,5,20,940,123362
5,2020,2,22,4,1100,54526
6,2020,2,12,18,940,123362
7,2020,2,14,8,940,123362
8,2020,2,10,9,940,123362
9,2020,2,2,17,940,123362
10,2020,2,18,10,1100,54526
11,2020,2,25,8,1100,54526
12,2020,2,27,13,1100,54526
13,2020,2,19,19,940,123362
14,2020,2,23,19,1100,54526
15,2020,2,13,14,940,123362
16,2020,2,3,22,940,123362
17,2020,2,19,14,1100,54526
18,2020,2,23,16,940,123362
19,2020,4,2,3,1050,54526
20,2020,2,20,22,1100,54526
21,2020,2,4,19,940,123362
22,2020,2,24,2,1100,54526
23,2020,2,21,7,940,123362
24,2020,2,17,21,1100,54526
25,2020,4,3,12,1050,54526
26,2020,2,18,5,940,123362
27,2020,2,25,4,940,123362
28,2020,2,6,8,940,123362
29,2020,2,24,19,940,123362
30,2020,2,22,4,940,123362
31,2020,3,25,11,1050,54526
32,2020,2,17,18,940,123362
33,2020,2,21,14,1100,54526
