No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,3,3,1600,39882
1,2020,2,20,22,1660,19250
2,2020,2,19,15,1600,39882
3,2020,2,21,10,1660,19250
4,2020,2,5,4,1600,39882
5,2020,2,4,7,1760,3311
6,2020,2,10,17,1600,39882
7,2020,2,10,14,1760,3311
8,2020,2,12,12,1760,3311
9,2020,2,4,7,1600,39882
10,2020,2,13,11,1600,39882
11,2020,2,9,16,1720,8685
12,2020,2,12,9,1660,19250
13,2020,2,5,23,1760,3311
14,2020,2,7,8,1760,3311
15,2020,2,24,6,1720,8685
16,2020,2,2,13,1600,39882
17,2020,2,3,18,1560,3311
18,2020,2,19,15,1760,3311
19,2020,2,22,10,1600,39882
20,2020,2,10,11,1720,8685
21,2020,2,19,23,1660,19250
22,2020,2,8,3,1600,39882
23,2020,2,6,7,1720,8685
24,2020,2,14,6,1660,19250
25,2020,2,23,18,1760,3311
26,2020,2,22,11,1660,19250
27,2020,2,18,6,1600,39882
28,2020,2,20,18,1720,8685
29,2020,2,20,4,1600,39882
30,2020,4,2,4,1630,12395
31,2020,2,12,12,1600,39882
32,2020,2,8,16,1720,8685
33,2020,2,9,22,1760,3311
34,2020,2,23,12,1600,39882
35,2020,2,7,17,1600,39882
36,2020,2,17,14,1760,3311
37,2020,2,4,19,1720,8685
38,2020,2,18,6,1660,19250
39,2020,2,2,22,1560,3311
40,2020,2,9,5,1600,39882
41,2020,2,24,21,1760,3311
42,2020,2,13,12,1660,19250
43,2020,2,5,15,1720,8685
44,2020,2,3,11,1720,8685
45,2020,2,14,6,1720,8685
46,2020,2,14,5,1600,39882
47,2020,2,13,14,1760,3311
48,2020,2,14,7,1760,3311
49,2020,2,21,19,1760,3311
50,2020,2,23,17,1660,19250
51,2020,2,24,7,1600,39882
52,2020,2,7,21,1720,8685
53,2020,2,22,2,1760,3311
54,2020,2,24,4,1660,19250
55,2020,2,25,5,1720,8685
56,2020,2,8,18,1760,3311
57,2020,2,22,21,1720,8685
58,2020,2,13,5,1720,8685
59,2020,2,6,18,1760,3311
60,2020,4,2,4,1720,8685
61,2020,3,25,13,1570,19250
62,2020,2,6,8,1600,39882
63,2020,2,25,9,1760,3311
64,2020,4,3,15,1630,12395
65,2020,2,2,23,1720,8685
66,2020,5,6,8,1650,16189
67,2020,2,25,9,1600,39882
68,2020,2,18,7,1760,3311
69,2020,2,20,13,1760,3311
70,2020,2,21,2,1600,39882
71,2020,2,12,20,1720,8685
72,2020,3,25,13,1690,12395
73,2020,2,17,13,1660,19250
74,2020,3,25,11,1650,16189
75,2020,2,17,19,1600,39882
76,2020,2,19,22,1720,8685
77,2020,2,21,22,1720,8685
78,2020,2,18,3,1720,8685
79,2020,3,25,12,1720,8685
80,2020,5,6,6,1630,12395
81,2020,4,3,12,1720,8685
82,2020,2,23,4,1720,8685
83,2020,2,17,20,1720,8685
