No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,5,8,1390,37242
1,2020,2,10,7,1420,46995
2,2020,2,13,16,1620,15556
3,2020,2,10,4,1650,15556
4,2020,2,3,2,1390,37242
5,2020,2,6,19,1430,46995
6,2020,2,19,11,1420,46995
7,2020,2,6,8,1390,37242
8,2020,2,22,22,1620,15556
9,2020,2,14,7,1420,46995
10,2020,2,23,12,1420,46995
11,2020,2,25,10,1620,15556
12,2020,2,4,21,1430,46995
13,2020,2,5,1,1430,46995
14,2020,2,23,22,1620,15556
15,2020,2,13,8,1600,15556
16,2020,2,17,18,1420,46995
17,2020,4,2,3,1430,46995
18,2020,2,20,8,1620,15556
19,2020,2,17,20,1390,37242
20,2020,2,18,4,1420,46995
21,2020,2,8,9,1420,46995
22,2020,2,8,5,1650,15556
23,2020,2,22,21,1420,46995
24,2020,2,2,15,1390,37242
25,2020,2,8,13,1390,37242
26,2020,2,12,12,1600,15556
27,2020,2,7,3,1430,46995
28,2020,2,18,7,1390,37242
29,2020,2,9,6,1650,15556
30,2020,2,13,0,1420,46995
31,2020,2,25,7,1390,37242
32,2020,2,21,7,1620,15556
33,2020,2,3,3,1430,46995
34,2020,2,20,19,1420,46995
35,2020,2,14,8,1620,15556
36,2020,2,9,23,1390,37242
37,2020,2,24,0,1420,46995
38,2020,2,12,6,1420,46995
39,2020,2,19,20,1620,15556
40,2020,2,13,16,1390,37242
41,2020,2,24,10,1390,37242
42,2020,4,9,11,1300,50098
43,2020,2,9,19,1420,46995
44,2020,2,4,15,1390,37242
45,2020,2,24,7,1620,15556
46,2020,2,7,2,1650,15556
47,2020,2,18,5,1620,15556
48,2020,2,20,17,1390,37242
49,2020,4,3,15,1430,46995
50,2020,2,17,12,1620,15556
51,2020,2,2,17,1430,46995
52,2020,3,25,11,1300,50098
53,2020,2,6,23,1650,15556
54,2020,2,7,6,1390,37242
55,2020,2,12,15,1390,37242
56,2020,2,10,6,1390,37242
57,2020,2,21,8,1390,37242
58,2020,2,22,16,1390,37242
59,2020,2,14,9,1390,37242
60,2020,2,21,4,1420,46995
61,2020,2,25,7,1420,46995
62,2020,2,4,16,1650,15556
63,2020,2,23,18,1390,37242
64,2020,2,5,6,1650,15556
65,2020,2,8,7,1430,46995
66,2020,2,2,9,1440,46995
