No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,18,6,3750,29385
1,2020,2,18,4,3950,15181
2,2020,2,8,10,3750,29385
3,2020,2,22,11,3700,29385
4,2020,2,9,6,3950,15181
5,2020,2,13,15,3750,29385
6,2020,2,23,11,3700,29385
7,2020,2,9,17,3750,29385
8,2020,2,3,5,3790,29385
9,2020,2,14,1,3950,15181
10,2020,2,25,3,3950,15181
11,2020,2,3,1,3950,15181
12,2020,2,4,19,3950,15181
13,2020,2,8,11,3950,15181
14,2020,2,12,6,3750,29385
15,2020,2,20,18,3750,29385
16,2020,2,24,22,3700,29385
17,2020,2,10,17,3750,29385
18,2020,2,14,7,3750,29385
19,2020,2,6,12,3750,29385
20,2020,2,21,11,3950,15181
21,2020,2,22,1,3750,29385
22,2020,2,21,17,3750,29385
23,2020,2,20,20,3950,15181
24,2020,2,12,14,3950,15181
25,2020,2,5,3,3750,29385
26,2020,2,19,13,3950,15181
27,2020,2,6,23,3950,15181
28,2020,2,23,20,3950,15181
29,2020,2,4,10,3750,29385
30,2020,2,7,6,3750,29385
31,2020,2,17,20,3750,29385
32,2020,2,13,0,3950,15181
33,2020,2,22,12,3950,15181
34,2020,2,25,5,3700,29385
35,2020,2,2,19,3950,15181
36,2020,2,5,17,3950,15181
37,2020,2,17,13,3950,15181
38,2020,2,10,7,3950,15181
39,2020,2,19,18,3750,29385
40,2020,2,2,8,3790,29385
41,2020,2,7,16,3950,15181
42,2020,2,4,1,3790,29385
43,2020,2,24,5,3950,15181
