No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,14,2,1430,246700
1,2020,2,7,18,1430,246700
2,2020,2,5,22,1430,246700
3,2020,2,13,10,1430,246700
4,2020,2,20,9,1430,246700
5,2020,2,22,16,1430,246700
6,2020,2,21,16,1430,246700
7,2020,2,12,22,1430,246700
8,2020,2,8,9,1430,246700
9,2020,2,24,14,1430,246700
10,2020,2,2,21,1430,246700
11,2020,2,23,7,1430,246700
12,2020,2,6,19,1430,246700
13,2020,2,17,14,1430,246700
14,2020,2,3,15,1430,246700
15,2020,2,10,9,1430,246700
16,2020,2,4,17,1430,246700
17,2020,2,25,8,1430,246700
18,2020,2,9,20,1430,246700
19,2020,2,19,21,1430,246700
20,2020,2,18,9,1430,246700
