No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,13,8,3890,66413
1,2020,2,10,17,3890,66413
2,2020,2,4,22,3970,66413
3,2020,2,20,18,3890,66413
4,2020,2,14,0,3890,66413
5,2020,2,5,2,3970,66413
6,2020,2,12,7,3890,66413
7,2020,2,3,10,3970,66413
8,2020,2,24,19,3890,66413
9,2020,2,19,12,3890,66413
10,2020,2,2,19,3970,66413
11,2020,2,22,2,3890,66413
12,2020,2,23,18,3890,66413
13,2020,2,6,7,3970,66413
14,2020,2,7,5,3970,66413
15,2020,2,21,10,3890,66413
16,2020,2,18,9,3890,66413
17,2020,2,8,7,3970,66413
18,2020,2,25,2,3890,66413
19,2020,5,6,7,3890,66413
20,2020,2,17,19,3890,66413
21,2020,2,9,16,3890,66413
22,2020,2,9,3,3970,66413
23,2020,4,3,15,3890,66413
24,2020,4,2,6,3890,66413
25,2020,3,25,12,3890,66413
