No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,6,17,650,152919
1,2020,2,12,20,650,152919
2,2020,2,10,8,650,152919
3,2020,2,5,12,650,152919
4,2020,2,13,22,650,152919
5,2020,2,2,9,650,152919
6,2020,2,8,3,650,152919
7,2020,2,7,22,650,152919
8,2020,2,4,14,650,152919
9,2020,2,19,18,650,152919
10,2020,4,9,10,650,152919
11,2020,2,21,16,650,152919
12,2020,2,22,16,650,152919
13,2020,2,9,21,650,152919
14,2020,2,23,22,650,152919
15,2020,2,20,18,650,152919
16,2020,2,3,7,650,152919
17,2020,2,17,14,650,152919
18,2020,2,24,18,650,152919
19,2020,4,2,5,650,152919
20,2020,2,14,1,650,152919
21,2020,2,25,2,650,152919
22,2020,2,18,9,650,152919
