No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,21,5,2280,65813
1,2020,2,12,19,2350,65813
2,2020,2,13,3,2350,65813
3,2020,2,4,6,2450,65813
4,2020,2,7,0,2380,65813
5,2020,2,23,0,2280,65813
6,2020,2,6,9,2380,65813
7,2020,2,2,10,2480,65813
8,2020,2,19,18,2280,65813
9,2020,2,8,12,2380,65813
10,2020,2,20,9,2280,65813
11,2020,2,22,15,2280,65813
12,2020,2,17,18,2280,65813
13,2020,2,3,14,2480,65813
14,2020,2,9,4,2380,65813
15,2020,2,10,9,2350,65813
16,2020,2,18,7,2280,65813
17,2020,2,5,4,2450,65813
18,2020,2,14,5,2280,65813
19,2020,2,25,3,2280,65813
20,2020,2,24,10,2280,65813
21,2020,5,27,6,2599,44100
22,2020,2,4,2,2480,65813
23,2020,2,6,1,2450,65813
24,2020,2,14,1,2350,65813
25,2020,2,3,3,2450,65813
26,2020,5,6,8,2640,44100
27,2020,2,10,0,2380,65813
