No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,24,5,1650,131515
1,2020,2,12,22,1650,131515
2,2020,2,14,3,1430,173000
3,2020,2,6,18,1430,173000
4,2020,2,5,3,1650,131515
5,2020,2,3,15,1650,131515
6,2020,2,13,5,1430,173000
7,2020,2,5,20,1430,173000
8,2020,2,2,19,1650,131515
9,2020,2,7,11,1650,131515
10,2020,2,24,12,1430,173000
11,2020,2,25,4,1650,131515
12,2020,2,2,19,1430,173000
13,2020,2,21,12,1430,173000
14,2020,2,9,17,1650,131515
15,2020,2,25,10,1430,173000
16,2020,2,23,15,1650,131515
17,2020,2,8,8,1430,173000
18,2020,2,17,18,1430,173000
19,2020,2,3,23,1430,173000
20,2020,2,9,1,1430,173000
21,2020,2,22,12,1650,131515
22,2020,2,10,14,1430,173000
23,2020,2,10,6,1650,131515
24,2020,2,22,1,1430,173000
25,2020,2,4,20,1430,173000
26,2020,2,4,5,1650,131515
27,2020,2,18,3,1650,131515
28,2020,2,21,5,1650,131515
29,2020,2,23,23,1430,173000
30,2020,2,12,6,1430,173000
31,2020,2,6,17,1650,131515
32,2020,2,13,6,1650,131515
33,2020,2,8,17,1650,131515
34,2020,2,20,12,1430,173000
35,2020,4,2,5,1330,173000
36,2020,2,17,12,1650,131515
37,2020,2,19,23,1650,131515
38,2020,2,7,19,1430,173000
39,2020,4,3,13,1330,173000
40,2020,2,19,21,1430,173000
41,2020,2,20,16,1650,131515
42,2020,3,25,11,1330,173000
43,2020,2,14,3,1650,131515
44,2020,2,18,3,1430,173000
