No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,19,19,1770,111799
1,2020,2,6,11,1770,111799
2,2020,2,7,20,1770,111799
3,2020,2,10,18,1770,111799
4,2020,2,4,17,1770,111799
5,2020,2,12,7,1770,111799
6,2020,2,23,4,1770,111799
7,2020,2,21,19,1770,111799
8,2020,2,24,7,1770,111799
9,2020,2,13,9,1770,111799
10,2020,2,17,13,1770,111799
11,2020,2,5,11,1770,111799
12,2020,2,22,11,1770,111799
13,2020,2,20,19,1770,111799
14,2020,2,27,13,1670,111799
15,2020,2,9,11,1770,111799
16,2020,2,8,5,1770,111799
17,2020,2,3,23,1750,111799
18,2020,2,2,14,1750,111799
19,2020,3,25,10,1600,111799
20,2020,4,2,4,1520,111799
21,2020,4,2,6,1500,111799
22,2020,2,14,7,1770,111799
23,2020,2,25,2,1670,111799
24,2020,2,18,3,1770,111799
25,2020,4,3,13,1500,111799
26,2020,2,4,4,1750,111799
