No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,5,23,3199,90432
1,2020,2,2,13,3199,90432
2,2020,2,17,20,3199,90432
3,2020,2,3,13,3199,90432
4,2020,2,7,15,3199,90432
5,2020,2,8,5,3199,90432
6,2020,2,10,0,3199,90432
7,2020,2,12,13,3199,90432
8,2020,2,13,21,3199,90432
9,2020,2,9,7,3199,90432
10,2020,2,22,12,3199,90432
11,2020,4,2,6,3640,67493
12,2020,2,19,23,3199,90432
13,2020,2,20,20,3199,90432
14,2020,2,21,19,3199,90432
15,2020,4,3,15,3640,67493
16,2020,2,24,19,3199,90432
17,2020,2,23,20,3199,90432
18,2020,2,4,6,3199,90432
19,2020,2,6,23,3199,90432
20,2020,2,14,5,3199,90432
