No,xyear,xmonth,xday,xhour,price,mileage
0,2020,4,9,11,1350,220254
1,2020,2,10,16,1809,84136
2,2020,2,21,4,1809,84136
3,2020,2,4,5,1350,220254
4,2020,2,5,22,1350,220254
5,2020,2,9,2,1350,220254
6,2020,2,14,6,1350,220254
7,2020,2,19,12,1350,220254
8,2020,3,25,11,1809,84136
9,2020,2,18,7,1809,84136
10,2020,2,6,22,1350,220254
11,2020,2,8,8,1809,84136
12,2020,2,18,4,1350,220254
13,2020,2,24,18,1809,84136
14,2020,2,21,16,1350,220254
15,2020,2,20,3,1809,84136
16,2020,2,23,8,1350,220254
17,2020,2,3,6,1809,84136
18,2020,2,22,21,1809,84136
19,2020,2,2,19,1350,220254
20,2020,2,12,9,1809,84136
21,2020,2,7,20,1350,220254
22,2020,2,8,2,1350,220254
23,2020,2,5,16,1809,84136
24,2020,2,3,5,1350,220254
25,2020,2,12,8,1350,220254
26,2020,2,4,6,1809,84136
27,2020,2,2,23,1809,84136
28,2020,2,6,16,1809,84136
29,2020,2,19,16,1809,84136
30,2020,4,3,12,1350,220254
31,2020,2,24,14,1350,220254
32,2020,4,2,6,1809,84136
33,2020,2,10,4,1350,220254
34,2020,2,20,7,1350,220254
35,2020,5,6,7,1350,220254
36,2020,5,6,7,1809,84136
37,2020,2,23,21,1809,84136
38,2020,2,22,11,1350,220254
39,2020,2,25,10,1809,84136
40,2020,2,13,23,1350,220254
41,2020,2,13,14,1809,84136
42,2020,2,14,1,1809,84136
43,2020,2,17,14,1350,220254
44,2020,2,9,17,1809,84136
45,2020,2,7,21,1809,84136
46,2020,2,25,4,1350,220254
47,2020,4,2,6,1350,220254
