No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,3,7,1090,83000
1,2020,2,24,16,1090,83000
2,2020,2,13,15,1090,83000
3,2020,2,21,16,1090,83000
4,2020,2,7,21,1090,83000
5,2020,2,12,15,1090,83000
6,2020,2,2,14,1090,83000
7,2020,2,17,14,1090,83000
8,2020,2,20,11,1090,83000
9,2020,2,25,4,1090,83000
10,2020,2,6,14,1090,83000
11,2020,2,9,8,1090,83000
12,2020,2,10,8,1090,83000
13,2020,2,8,7,1090,83000
14,2020,2,5,2,1090,83000
15,2020,2,23,11,1090,83000
16,2020,2,18,7,1090,83000
17,2020,2,22,0,1090,83000
18,2020,2,4,10,1090,83000
19,2020,2,14,5,1090,83000
20,2020,2,19,14,1090,83000
