No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,14,8,3820,8265
1,2020,2,3,8,3820,8265
2,2020,2,14,6,3790,9453
3,2020,2,5,19,3790,9453
4,2020,2,2,14,3820,8265
5,2020,2,4,0,3820,8265
6,2020,2,22,2,3790,9453
7,2020,2,12,16,3820,8265
8,2020,2,7,6,3820,8265
9,2020,2,8,18,3820,8265
10,2020,2,13,7,3820,8265
11,2020,2,18,6,3820,8265
12,2020,2,6,21,3820,8265
13,2020,2,12,21,3790,9453
14,2020,2,21,20,3820,8265
15,2020,2,17,14,3790,9453
16,2020,2,20,16,3790,9453
17,2020,2,6,18,3790,9453
18,2020,2,20,22,3820,8265
19,2020,2,9,14,3790,9453
20,2020,2,7,20,3790,9453
21,2020,2,24,7,3820,8265
22,2020,2,19,23,3820,8265
23,2020,2,4,8,3790,9453
24,2020,2,17,13,3820,8265
25,2020,2,25,0,3820,8265
26,2020,2,9,10,3820,8265
27,2020,2,10,1,3820,8265
28,2020,2,3,10,3790,9453
29,2020,2,13,9,3790,9453
30,2020,2,23,23,3820,8265
31,2020,2,2,10,3790,9453
32,2020,2,8,19,3790,9453
33,2020,2,23,3,3790,9453
34,2020,2,5,10,3820,8265
35,2020,2,22,5,3820,8265
36,2020,2,10,5,3790,9453
37,2020,2,24,4,3790,9453
38,2020,2,25,4,3790,9453
39,2020,2,21,18,3790,9453
