No,xyear,xmonth,xday,xhour,price,mileage
0,2020,2,14,3,3999,43465
1,2020,2,4,6,3950,39613
2,2020,2,13,19,3999,43465
3,2020,2,12,14,3999,43465
4,2020,2,5,10,4050,43465
5,2020,2,8,2,3999,43465
6,2020,2,4,7,4050,43465
7,2020,2,9,17,3999,43465
8,2020,2,24,17,3999,43465
9,2020,2,3,5,4050,43465
10,2020,2,14,5,4190,30698
11,2020,2,3,15,4190,30698
12,2020,2,21,18,3950,39613
13,2020,2,18,4,4190,30698
14,2020,2,13,15,4190,30698
15,2020,2,17,20,4190,30698
16,2020,2,21,16,3999,43465
17,2020,2,27,13,3950,39613
18,2020,2,7,12,3999,43465
19,2020,2,6,16,3999,43465
20,2020,2,9,10,3950,39613
21,2020,2,22,20,3950,39613
22,2020,2,6,21,4190,30698
23,2020,2,2,18,4190,30698
24,2020,2,10,12,3999,43465
25,2020,2,24,23,4190,30698
26,2020,2,20,12,3950,39613
27,2020,2,8,7,3950,39613
28,2020,2,24,14,3950,39613
29,2020,4,2,3,3950,39613
30,2020,2,8,20,4190,30698
31,2020,2,23,23,3999,43465
32,2020,2,9,17,4190,30698
33,2020,2,10,9,4190,30698
34,2020,2,19,10,3950,39613
35,2020,2,12,16,4190,30698
36,2020,2,22,7,4190,30698
37,2020,2,17,13,3999,43465
38,2020,2,3,3,3950,39613
39,2020,2,20,1,3999,43465
40,2020,2,10,0,3950,39613
41,2020,2,13,9,3950,39613
42,2020,2,25,6,4190,30698
43,2020,2,19,20,4190,30698
44,2020,2,4,22,4190,30698
45,2020,2,20,5,4190,30698
46,2020,3,25,11,3950,39613
47,2020,2,6,6,4050,43465
48,2020,2,21,21,4190,30698
49,2020,2,7,2,3950,39613
50,2020,2,23,4,4190,30698
51,2020,2,6,9,3950,39613
52,2020,4,3,14,3950,39613
53,2020,2,23,14,3950,39613
54,2020,2,12,13,3950,39613
55,2020,2,25,5,3999,43465
56,2020,2,14,3,3950,39613
57,2020,2,19,22,3999,43465
58,2020,2,22,6,3999,43465
59,2020,2,5,19,4190,30698
60,2020,2,25,7,3950,39613
61,2020,2,2,22,3950,39613
62,2020,2,5,17,3950,39613
63,2020,2,2,14,4050,43465
64,2020,4,3,15,3899,43465
65,2020,2,7,19,4190,30698
66,2020,2,18,9,3999,43465
67,2020,2,17,14,3950,39613
68,2020,2,18,8,3950,39613
